Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1961,1961,tonnes,2465134.53,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1962,1962,tonnes,2567920.97,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1963,1963,tonnes,2540411.27,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1964,1964,tonnes,2512372.65,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1965,1965,tonnes,2565690.17,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1966,1966,tonnes,2679738.32,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1967,1967,tonnes,2581751.89,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1968,1968,tonnes,2907292.79,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1969,1969,tonnes,2762261.46,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1970,1970,tonnes,3043467.13,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1971,1971,tonnes,2976269.81,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1972,1972,tonnes,3410819.73,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1973,1973,tonnes,3313364.14,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1974,1974,tonnes,3213106.01,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1975,1975,tonnes,3097948.52,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1976,1976,tonnes,3450284.1,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1977,1977,tonnes,3445888.68,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1978,1978,tonnes,3650903.4,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1979,1979,tonnes,3627810.59,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",1980,1980,tonnes,3576667.12,A,"Aggregate, may include official, semi-official, estimated or calculated data"
