year,type,envt,n_spp,prod_tonnes,element,consumption_tonnes,country
1950,aquaculture,freshwater,7,5030,NA,NA,USA
1950,aquaculture,marine,5,56853,NA,NA,USA
1950,capture,freshwater,22,85697,NA,NA,USA
1950,capture,marine,288,2542680.9,NA,NA,USA
1951,aquaculture,freshwater,7,5179,NA,NA,USA
1951,aquaculture,marine,5,63267,NA,NA,USA
1951,capture,freshwater,22,87258,NA,NA,USA
1951,capture,marine,291,2363533.7,NA,NA,USA
1952,aquaculture,freshwater,7,5337,NA,NA,USA
1952,aquaculture,marine,5,73347,NA,NA,USA
1952,capture,freshwater,22,94680,NA,NA,USA
1952,capture,marine,292,2377419,NA,NA,USA
1953,aquaculture,freshwater,7,5494,NA,NA,USA
1953,aquaculture,marine,5,74774,NA,NA,USA
1953,capture,freshwater,22,90221,NA,NA,USA
1953,capture,marine,289,2443540,NA,NA,USA
1954,aquaculture,freshwater,7,5655,NA,NA,USA
1954,aquaculture,marine,5,81727,NA,NA,USA
1954,capture,freshwater,22,85877,NA,NA,USA
1954,capture,marine,288,2509928,NA,NA,USA
1955,aquaculture,freshwater,7,5847,NA,NA,USA
1955,aquaculture,marine,5,93844,NA,NA,USA
1955,capture,freshwater,22,94117,NA,NA,USA
1955,capture,marine,285,2526556,NA,NA,USA
1956,aquaculture,freshwater,7,6059,NA,NA,USA
1956,aquaculture,marine,5,92742,NA,NA,USA
1956,capture,freshwater,22,90381,NA,NA,USA
1956,capture,marine,288,2704595,NA,NA,USA
1957,aquaculture,freshwater,7,6313,NA,NA,USA
1957,aquaculture,marine,5,89458,NA,NA,USA
1957,capture,freshwater,23,81348,NA,NA,USA
1957,capture,marine,291,2474081,NA,NA,USA
1958,aquaculture,freshwater,7,6607,NA,NA,USA
1958,aquaculture,marine,5,83632,NA,NA,USA
1958,capture,freshwater,23,77496,NA,NA,USA
1958,capture,marine,294,2454888,NA,NA,USA
1959,aquaculture,freshwater,7,6982,NA,NA,USA
1959,aquaculture,marine,5,96077,NA,NA,USA
1959,capture,freshwater,23,76658,NA,NA,USA
1959,capture,marine,301,2686045,NA,NA,USA
1960,aquaculture,freshwater,7,7028,NA,NA,USA
1960,aquaculture,marine,5,97393,NA,NA,USA
1960,capture,freshwater,23,81709,NA,NA,USA
1960,capture,marine,298,2632477,NA,NA,USA
1961,aquaculture,freshwater,7,7986,Food supply quantity (tonnes),2465134.53,USA
1961,aquaculture,marine,5,94561,Food supply quantity (tonnes),2465134.53,USA
