Region,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,date_range,year,country
South Carolina,76%,1%,7%,<1%,16%,food & drink,(1/1/17 - 5/15/17),2017,usa
Hawaii,67%,1%,11%,1%,20%,food & drink,(1/1/17 - 5/15/17),2017,usa
Louisiana,66%,2%,24%,1%,7%,food & drink,(1/1/17 - 5/15/17),2017,usa
Florida,76%,1%,10%,1%,12%,food & drink,(1/1/17 - 5/15/17),2017,usa
Maryland,73%,2%,13%,1%,11%,food & drink,(1/1/17 - 5/15/17),2017,usa
North Carolina,70%,1%,12%,<1%,17%,food & drink,(1/1/17 - 5/15/17),2017,usa
District of Columbia,68%,1%,16%,,15%,food & drink,(1/1/17 - 5/15/17),2017,usa
Georgia,67%,2%,12%,1%,18%,food & drink,(1/1/17 - 5/15/17),2017,usa
Mississippi,69%,1%,20%,,10%,food & drink,(1/1/17 - 5/15/17),2017,usa
Virginia,67%,2%,13%,<1%,18%,food & drink,(1/1/17 - 5/15/17),2017,usa
Delaware,65%,4%,20%,,11%,food & drink,(1/1/17 - 5/15/17),2017,usa
Alabama,60%,1%,18%,,21%,food & drink,(1/1/17 - 5/15/17),2017,usa
California,60%,<1%,12%,1%,27%,food & drink,(1/1/17 - 5/15/17),2017,usa
Massachusetts,62%,5%,20%,2%,11%,food & drink,(1/1/17 - 5/15/17),2017,usa
Texas,61%,2%,14%,<1%,23%,food & drink,(1/1/17 - 5/15/17),2017,usa
New Jersey,58%,1%,14%,3%,24%,food & drink,(1/1/17 - 5/15/17),2017,usa
New York,55%,2%,18%,1%,24%,food & drink,(1/1/17 - 5/15/17),2017,usa
Nevada,55%,,13%,3%,29%,food & drink,(1/1/17 - 5/15/17),2017,usa
New Hampshire,74%,4%,15%,,7%,food & drink,(1/1/17 - 5/15/17),2017,usa
Alaska,60%,,40%,,,food & drink,(1/1/17 - 5/15/17),2017,usa
Illinois,58%,1%,14%,<1%,27%,food & drink,(1/1/17 - 5/15/17),2017,usa
Rhode Island,54%,,33%,,13%,food & drink,(1/1/17 - 5/15/17),2017,usa
Maine,61%,,21%,,18%,food & drink,(1/1/17 - 5/15/17),2017,usa
Pennsylvania,55%,4%,18%,3%,20%,food & drink,(1/1/17 - 5/15/17),2017,usa
Connecticut,51%,1%,21%,3%,24%,food & drink,(1/1/17 - 5/15/17),2017,usa
Oregon,52%,1%,16%,2%,29%,food & drink,(1/1/17 - 5/15/17),2017,usa
Vermont,53%,,15%,,32%,food & drink,(1/1/17 - 5/15/17),2017,usa
Tennessee,44%,,23%,<1%,33%,food & drink,(1/1/17 - 5/15/17),2017,usa
Arizona,51%,2%,14%,1%,32%,food & drink,(1/1/17 - 5/15/17),2017,usa
Kentucky,53%,1%,19%,,27%,food & drink,(1/1/17 - 5/15/17),2017,usa
Washington,49%,2%,21%,1%,27%,food & drink,(1/1/17 - 5/15/17),2017,usa
West Virginia,56%,,18%,,26%,food & drink,(1/1/17 - 5/15/17),2017,usa
Colorado,43%,2%,17%,2%,36%,food & drink,(1/1/17 - 5/15/17),2017,usa
Michigan,49%,2%,21%,4%,24%,food & drink,(1/1/17 - 5/15/17),2017,usa
Indiana,48%,2%,21%,3%,26%,food & drink,(1/1/17 - 5/15/17),2017,usa
Missouri,42%,2%,15%,1%,40%,food & drink,(1/1/17 - 5/15/17),2017,usa
Ohio,46%,1%,19%,3%,31%,food & drink,(1/1/17 - 5/15/17),2017,usa
Oklahoma,36%,5%,18%,,41%,food & drink,(1/1/17 - 5/15/17),2017,usa
Arkansas,57%,,17%,,26%,food & drink,(1/1/17 - 5/15/17),2017,usa
Wisconsin,46%,2%,22%,1%,29%,food & drink,(1/1/17 - 5/15/17),2017,usa
Utah,46%,,13%,8%,33%,food & drink,(1/1/17 - 5/15/17),2017,usa
Minnesota,39%,3%,28%,2%,28%,food & drink,(1/1/17 - 5/15/17),2017,usa
Montana,55%,,27%,,18%,food & drink,(1/1/17 - 5/15/17),2017,usa
Kansas,58%,,14%,,28%,food & drink,(1/1/17 - 5/15/17),2017,usa
Nebraska,25%,,44%,,31%,food & drink,(1/1/17 - 5/15/17),2017,usa
New Mexico,48%,,30%,,22%,food & drink,(1/1/17 - 5/15/17),2017,usa
Iowa,42%,,22%,4%,32%,food & drink,(1/1/17 - 5/15/17),2017,usa
Idaho,44%,,12%,,44%,food & drink,(1/1/17 - 5/15/17),2017,usa
North Dakota,40%,,60%,,,food & drink,(1/1/17 - 5/15/17),2017,usa
Wyoming,,,,,,food & drink,(1/1/17 - 5/15/17),2017,usa
South Dakota,,,,,,food & drink,(1/1/17 - 5/15/17),2017,usa
