Region,seafood restaurant: (1/1/16 - 5/15/16),seafood recipe: (1/1/16 - 5/15/16),seafood delivery: (1/1/16 - 5/15/16),sushi take out: (1/1/16 - 5/15/16),bbq restaurant: (1/1/16 - 5/15/16),category,date_range,year,country
South Carolina,73%,2%,10%,<1%,15%,food & drink, (1/1/19 - 6/15/19),2019,usa
Florida,74%,2%,10%,1%,13%,food & drink, (1/1/19 - 6/15/19),2019,usa
Louisiana,73%,1%,17%,<1%,9%,food & drink, (1/1/19 - 6/15/19),2019,usa
Hawaii,66%,1%,12%,3%,18%,food & drink, (1/1/19 - 6/15/19),2019,usa
Maryland,69%,3%,16%,<1%,12%,food & drink, (1/1/19 - 6/15/19),2019,usa
Mississippi,70%,2%,17%,,11%,food & drink, (1/1/19 - 6/15/19),2019,usa
North Carolina,69%,2%,13%,<1%,16%,food & drink, (1/1/19 - 6/15/19),2019,usa
Georgia,67%,2%,14%,<1%,17%,food & drink, (1/1/19 - 6/15/19),2019,usa
District of Columbia,73%,5%,10%,,12%,food & drink, (1/1/19 - 6/15/19),2019,usa
Delaware,77%,2%,10%,,11%,food & drink, (1/1/19 - 6/15/19),2019,usa
Virginia,70%,2%,15%,<1%,13%,food & drink, (1/1/19 - 6/15/19),2019,usa
Alabama,69%,1%,15%,,15%,food & drink, (1/1/19 - 6/15/19),2019,usa
New Jersey,63%,2%,13%,2%,20%,food & drink, (1/1/19 - 6/15/19),2019,usa
Massachusetts,65%,5%,16%,1%,13%,food & drink, (1/1/19 - 6/15/19),2019,usa
Rhode Island,64%,8%,16%,,12%,food & drink, (1/1/19 - 6/15/19),2019,usa
Texas,58%,2%,16%,<1%,24%,food & drink, (1/1/19 - 6/15/19),2019,usa
New York,59%,2%,16%,1%,22%,food & drink, (1/1/19 - 6/15/19),2019,usa
New Hampshire,66%,2%,20%,,12%,food & drink, (1/1/19 - 6/15/19),2019,usa
Tennessee,56%,1%,16%,<1%,27%,food & drink, (1/1/19 - 6/15/19),2019,usa
California,59%,1%,14%,1%,25%,food & drink, (1/1/19 - 6/15/19),2019,usa
Maine,62%,3%,21%,,14%,food & drink, (1/1/19 - 6/15/19),2019,usa
Pennsylvania,58%,5%,21%,1%,15%,food & drink, (1/1/19 - 6/15/19),2019,usa
Connecticut,52%,4%,21%,2%,21%,food & drink, (1/1/19 - 6/15/19),2019,usa
Illinois,54%,2%,16%,1%,27%,food & drink, (1/1/19 - 6/15/19),2019,usa
Nevada,43%,2%,20%,2%,33%,food & drink, (1/1/19 - 6/15/19),2019,usa
Oregon,59%,2%,15%,1%,23%,food & drink, (1/1/19 - 6/15/19),2019,usa
Arkansas,52%,3%,19%,,26%,food & drink, (1/1/19 - 6/15/19),2019,usa
Washington,47%,1%,24%,1%,27%,food & drink, (1/1/19 - 6/15/19),2019,usa
Indiana,54%,2%,21%,1%,22%,food & drink, (1/1/19 - 6/15/19),2019,usa
Kentucky,51%,2%,17%,,30%,food & drink, (1/1/19 - 6/15/19),2019,usa
Ohio,51%,2%,23%,1%,23%,food & drink, (1/1/19 - 6/15/19),2019,usa
Arizona,48%,1%,16%,2%,33%,food & drink, (1/1/19 - 6/15/19),2019,usa
Oklahoma,49%,1%,17%,,33%,food & drink, (1/1/19 - 6/15/19),2019,usa
New Mexico,49%,4%,18%,,29%,food & drink, (1/1/19 - 6/15/19),2019,usa
Missouri,42%,1%,24%,1%,32%,food & drink, (1/1/19 - 6/15/19),2019,usa
Alaska,67%,,33%,,,food & drink, (1/1/19 - 6/15/19),2019,usa
Michigan,46%,2%,24%,2%,26%,food & drink, (1/1/19 - 6/15/19),2019,usa
Colorado,44%,<1%,20%,2%,34%,food & drink, (1/1/19 - 6/15/19),2019,usa
West Virginia,48%,,16%,,36%,food & drink, (1/1/19 - 6/15/19),2019,usa
Kansas,46%,5%,18%,,31%,food & drink, (1/1/19 - 6/15/19),2019,usa
Wyoming,,,,,100%,food & drink, (1/1/19 - 6/15/19),2019,usa
Wisconsin,42%,3%,25%,1%,29%,food & drink, (1/1/19 - 6/15/19),2019,usa
North Dakota,57%,,43%,,,food & drink, (1/1/19 - 6/15/19),2019,usa
Minnesota,35%,1%,31%,6%,27%,food & drink, (1/1/19 - 6/15/19),2019,usa
Vermont,39%,,39%,,22%,food & drink, (1/1/19 - 6/15/19),2019,usa
Utah,37%,5%,15%,6%,37%,food & drink, (1/1/19 - 6/15/19),2019,usa
Iowa,37%,3%,23%,4%,33%,food & drink, (1/1/19 - 6/15/19),2019,usa
Idaho,28%,,26%,,46%,food & drink, (1/1/19 - 6/15/19),2019,usa
South Dakota,100%,,,,,food & drink, (1/1/19 - 6/15/19),2019,usa
Nebraska,32%,5%,36%,5%,22%,food & drink, (1/1/19 - 6/15/19),2019,usa
Montana,21%,,50%,,29%,food & drink, (1/1/19 - 6/15/19),2019,usa
