Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/7/18,52,2,20,2,18,food & drink,2018,usa
1/14/18,54,2,20,1,20,food & drink,2018,usa
1/21/18,61,2,19,1,22,food & drink,2018,usa
1/28/18,51,2,17,1,20,food & drink,2018,usa
2/4/18,56,2,18,1,20,food & drink,2018,usa
2/11/18,81,2,23,2,21,food & drink,2018,usa
2/18/18,69,2,20,2,23,food & drink,2018,usa
2/25/18,64,2,16,2,22,food & drink,2018,usa
3/4/18,63,2,18,1,20,food & drink,2018,usa
3/11/18,57,2,14,1,21,food & drink,2018,usa
3/18/18,59,2,14,1,20,food & drink,2018,usa
3/25/18,66,3,16,2,23,food & drink,2018,usa
4/1/18,59,2,13,2,25,food & drink,2018,usa
4/8/18,51,1,14,2,21,food & drink,2018,usa
4/15/18,60,2,15,1,24,food & drink,2018,usa
4/22/18,59,1,12,1,21,food & drink,2018,usa
4/29/18,64,2,12,1,19,food & drink,2018,usa
5/6/18,76,2,12,1,23,food & drink,2018,usa
5/13/18,81,2,15,2,23,food & drink,2018,usa
5/20/18,80,2,13,2,22,food & drink,2018,usa
5/27/18,91,3,16,2,26,food & drink,2018,usa
6/3/18,76,2,13,1,21,food & drink,2018,usa
6/10/18,79,2,18,1,23,food & drink,2018,usa
6/17/18,77,2,14,1,26,food & drink,2018,usa
6/24/18,77,2,16,2,25,food & drink,2018,usa
7/1/18,100,3,21,2,30,food & drink,2018,usa
7/8/18,89,2,14,1,24,food & drink,2018,usa
7/15/18,89,2,17,2,26,food & drink,2018,usa
7/22/18,76,3,15,2,23,food & drink,2018,usa
7/29/18,74,2,14,2,25,food & drink,2018,usa
8/5/18,73,3,16,2,26,food & drink,2018,usa
8/12/18,70,2,15,2,22,food & drink,2018,usa
8/19/18,72,3,14,1,25,food & drink,2018,usa
8/26/18,71,2,14,1,21,food & drink,2018,usa
9/2/18,72,2,13,1,24,food & drink,2018,usa
9/9/18,60,1,15,1,21,food & drink,2018,usa
9/16/18,64,2,11,1,20,food & drink,2018,usa
9/23/18,61,2,13,2,18,food & drink,2018,usa
9/30/18,60,2,15,1,20,food & drink,2018,usa
