Day,m_day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/20,1/1,64,6,26,1,28,food & drink,2020,usa
1/2/20,1/2,49,3,15,1,14,food & drink,2020,usa
1/3/20,1/3,52,4,14,2,17,food & drink,2020,usa
1/4/20,1/4,73,3,17,1,23,food & drink,2020,usa
1/5/20,1/5,58,2,23,3,19,food & drink,2020,usa
1/6/20,1/6,39,6,10,1,13,food & drink,2020,usa
1/7/20,1/7,41,2,12,1,13,food & drink,2020,usa
1/8/20,1/8,82,4,15,2,14,food & drink,2020,usa
1/9/20,1/9,60,1,13,1,15,food & drink,2020,usa
1/10/20,1/10,50,4,12,2,20,food & drink,2020,usa
1/11/20,1/11,71,4,17,0,26,food & drink,2020,usa
1/12/20,1/12,83,3,24,3,20,food & drink,2020,usa
1/13/20,1/13,41,5,10,2,16,food & drink,2020,usa
1/14/20,1/14,44,1,13,1,15,food & drink,2020,usa
1/15/20,1/15,38,2,12,1,12,food & drink,2020,usa
1/16/20,1/16,43,2,10,0,13,food & drink,2020,usa
1/17/20,1/17,52,2,13,0,15,food & drink,2020,usa
1/18/20,1/18,70,5,12,2,24,food & drink,2020,usa
1/19/20,1/19,65,4,20,2,23,food & drink,2020,usa
1/20/20,1/20,55,6,15,0,22,food & drink,2020,usa
1/21/20,1/21,48,2,12,1,14,food & drink,2020,usa
1/22/20,1/22,40,2,11,1,17,food & drink,2020,usa
1/23/20,1/23,35,2,8,2,13,food & drink,2020,usa
1/24/20,1/24,63,1,13,2,14,food & drink,2020,usa
1/25/20,1/25,82,4,24,2,27,food & drink,2020,usa
1/26/20,1/26,48,3,16,1,18,food & drink,2020,usa
1/27/20,1/27,36,8,10,2,12,food & drink,2020,usa
1/28/20,1/28,40,2,11,0,14,food & drink,2020,usa
1/29/20,1/29,43,2,6,1,13,food & drink,2020,usa
1/30/20,1/30,42,2,11,1,13,food & drink,2020,usa
1/31/20,1/31,51,4,14,1,20,food & drink,2020,usa
2/1/20,2/1,61,4,17,2,19,food & drink,2020,usa
2/2/20,2/2,49,4,19,1,15,food & drink,2020,usa
2/3/20,2/3,34,4,10,1,10,food & drink,2020,usa
2/4/20,2/4,36,2,11,2,13,food & drink,2020,usa
2/5/20,2/5,39,2,11,1,13,food & drink,2020,usa
2/6/20,2/6,41,2,14,0,18,food & drink,2020,usa
2/7/20,2/7,53,2,14,1,15,food & drink,2020,usa
2/8/20,2/8,75,4,15,1,26,food & drink,2020,usa
2/9/20,2/9,62,2,17,3,30,food & drink,2020,usa
2/10/20,2/10,44,8,11,1,13,food & drink,2020,usa
2/11/20,2/11,45,3,9,2,12,food & drink,2020,usa
2/12/20,2/12,44,3,17,0,14,food & drink,2020,usa
2/13/20,2/13,56,3,15,1,16,food & drink,2020,usa
2/14/20,2/14,100,3,21,2,22,food & drink,2020,usa
2/15/20,2/15,91,5,23,2,28,food & drink,2020,usa
2/16/20,2/16,62,4,20,3,35,food & drink,2020,usa
2/17/20,2/17,49,6,15,0,23,food & drink,2020,usa
2/18/20,2/18,36,4,11,1,14,food & drink,2020,usa
2/19/20,2/19,42,0,13,2,9,food & drink,2020,usa
2/20/20,2/20,37,1,9,0,14,food & drink,2020,usa
2/21/20,2/21,49,3,16,1,20,food & drink,2020,usa
2/22/20,2/22,84,4,20,1,32,food & drink,2020,usa
2/23/20,2/23,65,7,21,2,26,food & drink,2020,usa
2/24/20,2/24,37,3,9,2,18,food & drink,2020,usa
2/25/20,2/25,36,2,15,1,13,food & drink,2020,usa
2/26/20,2/26,45,3,17,2,14,food & drink,2020,usa
2/27/20,2/27,43,4,12,0,14,food & drink,2020,usa
2/28/20,2/28,64,1,13,2,17,food & drink,2020,usa
2/29/20,2/29,81,4,23,1,26,food & drink,2020,usa
3/1/20,3/1,70,4,23,0,26,food & drink,2020,usa
3/2/20,3/2,41,4,9,1,14,food & drink,2020,usa
3/3/20,3/3,36,2,14,0,17,food & drink,2020,usa
3/4/20,3/4,39,4,9,2,19,food & drink,2020,usa
3/5/20,3/5,35,0,8,1,21,food & drink,2020,usa
3/6/20,3/6,58,3,10,1,11,food & drink,2020,usa
3/7/20,3/7,96,3,12,1,25,food & drink,2020,usa
3/8/20,3/8,65,3,20,2,24,food & drink,2020,usa
3/9/20,3/9,43,5,17,2,10,food & drink,2020,usa
3/10/20,3/10,39,1,8,1,9,food & drink,2020,usa
3/11/20,3/11,34,1,14,1,10,food & drink,2020,usa
3/12/20,3/12,35,1,10,1,10,food & drink,2020,usa
3/13/20,3/13,34,3,13,1,10,food & drink,2020,usa
3/14/20,3/14,56,4,14,1,12,food & drink,2020,usa
3/15/20,3/15,39,3,17,0,15,food & drink,2020,usa
3/16/20,3/16,20,2,8,2,10,food & drink,2020,usa
3/17/20,3/17,16,2,11,1,8,food & drink,2020,usa
3/18/20,3/18,18,3,13,2,6,food & drink,2020,usa
3/19/20,3/19,23,3,8,1,8,food & drink,2020,usa
3/20/20,3/20,18,5,14,3,8,food & drink,2020,usa
3/21/20,3/21,21,5,18,6,10,food & drink,2020,usa
3/22/20,3/22,20,3,15,4,11,food & drink,2020,usa
3/23/20,3/23,10,6,11,3,5,food & drink,2020,usa
3/24/20,3/24,14,3,11,3,8,food & drink,2020,usa
3/25/20,3/25,12,3,11,1,8,food & drink,2020,usa
3/26/20,3/26,18,5,8,4,7,food & drink,2020,usa
3/27/20,3/27,30,6,17,5,14,food & drink,2020,usa
3/28/20,3/28,23,5,25,5,15,food & drink,2020,usa
3/29/20,3/29,22,5,22,4,16,food & drink,2020,usa
3/30/20,3/30,15,8,15,2,10,food & drink,2020,usa
3/31/20,3/31,18,7,11,3,5,food & drink,2020,usa
4/1/20,4/1,15,4,16,2,8,food & drink,2020,usa
4/2/20,4/2,20,8,13,5,9,food & drink,2020,usa
4/3/20,4/3,27,9,21,3,11,food & drink,2020,usa
4/4/20,4/4,28,8,23,7,15,food & drink,2020,usa
4/5/20,4/5,17,9,24,6,8,food & drink,2020,usa
4/6/20,4/6,12,11,14,4,6,food & drink,2020,usa
4/7/20,4/7,19,9,21,3,8,food & drink,2020,usa
4/8/20,4/8,17,6,18,4,8,food & drink,2020,usa
4/9/20,4/9,14,7,19,4,11,food & drink,2020,usa
4/10/20,4/10,30,9,31,6,14,food & drink,2020,usa
4/11/20,4/11,30,9,34,8,15,food & drink,2020,usa
4/12/20,4/12,22,7,27,3,15,food & drink,2020,usa
4/13/20,4/13,14,11,17,3,4,food & drink,2020,usa
4/14/20,4/14,16,6,20,2,8,food & drink,2020,usa
4/15/20,4/15,15,6,18,3,10,food & drink,2020,usa
4/16/20,4/16,21,8,17,3,11,food & drink,2020,usa
4/17/20,4/17,28,12,21,5,14,food & drink,2020,usa
4/18/20,4/18,31,10,40,4,22,food & drink,2020,usa
4/19/20,4/19,35,7,33,3,14,food & drink,2020,usa
4/20/20,4/20,18,8,21,4,10,food & drink,2020,usa
4/21/20,4/21,24,6,23,2,8,food & drink,2020,usa
4/22/20,4/22,18,7,21,6,9,food & drink,2020,usa
4/23/20,4/23,20,6,19,2,12,food & drink,2020,usa
4/24/20,4/24,28,5,22,4,15,food & drink,2020,usa
4/25/20,4/25,35,8,29,7,12,food & drink,2020,usa
4/26/20,4/26,29,8,27,3,15,food & drink,2020,usa
4/27/20,4/27,23,8,14,3,9,food & drink,2020,usa
4/28/20,4/28,21,7,23,2,13,food & drink,2020,usa
4/29/20,4/29,22,5,19,3,11,food & drink,2020,usa
4/30/20,4/30,24,6,19,2,13,food & drink,2020,usa
5/1/20,5/1,31,6,21,4,13,food & drink,2020,usa
5/2/20,5/2,42,7,29,7,20,food & drink,2020,usa
5/3/20,5/3,38,8,30,7,17,food & drink,2020,usa
5/4/20,5/4,24,7,22,1,9,food & drink,2020,usa
5/5/20,5/5,26,6,19,3,9,food & drink,2020,usa
5/6/20,5/6,22,8,17,3,12,food & drink,2020,usa
5/7/20,5/7,25,5,17,3,14,food & drink,2020,usa
5/8/20,5/8,41,7,27,3,14,food & drink,2020,usa
5/9/20,5/9,58,7,47,4,21,food & drink,2020,usa
5/10/20,5/10,86,19,59,10,24,food & drink,2020,usa
5/11/20,5/11,30,3,22,4,7,food & drink,2020,usa
5/12/20,5/12,24,3,17,4,9,food & drink,2020,usa
5/13/20,5/13,24,8,16,2,11,food & drink,2020,usa
5/14/20,5/14,28,3,17,2,14,food & drink,2020,usa
5/15/20,5/15,31,5,21,1,16,food & drink,2020,usa
5/16/20,5/16,57,5,29,3,21,food & drink,2020,usa
5/17/20,5/17,37,6,29,5,17,food & drink,2020,usa
5/18/20,5/18,25,8,21,3,12,food & drink,2020,usa
5/19/20,5/19,27,5,17,3,12,food & drink,2020,usa
5/20/20,5/20,29,5,21,3,11,food & drink,2020,usa
5/21/20,5/21,31,5,19,2,10,food & drink,2020,usa
5/22/20,5/22,41,4,23,4,16,food & drink,2020,usa
5/23/20,5/23,53,5,30,5,19,food & drink,2020,usa
5/24/20,5/24,57,12,34,4,27,food & drink,2020,usa
5/25/20,5/25,39,4,28,2,28,food & drink,2020,usa
5/26/20,5/26,22,3,19,2,9,food & drink,2020,usa
5/27/20,5/27,32,6,17,2,8,food & drink,2020,usa
5/28/20,5/28,36,3,15,2,12,food & drink,2020,usa
5/29/20,5/29,37,3,20,4,17,food & drink,2020,usa
5/30/20,5/30,56,5,28,3,26,food & drink,2020,usa
5/31/20,5/31,47,7,19,4,17,food & drink,2020,usa
6/1/20,6/1,35,3,15,2,12,food & drink,2020,usa
6/2/20,6/2,31,4,13,2,11,food & drink,2020,usa
6/3/20,6/3,34,4,12,4,13,food & drink,2020,usa
6/4/20,6/4,36,2,18,2,15,food & drink,2020,usa
6/5/20,6/5,39,3,18,2,18,food & drink,2020,usa
6/6/20,6/6,61,5,29,1,22,food & drink,2020,usa
6/7/20,6/7,55,8,30,2,23,food & drink,2020,usa
6/8/20,6/8,38,4,15,1,15,food & drink,2020,usa
6/9/20,6/9,38,6,15,2,14,food & drink,2020,usa
6/10/20,6/10,41,4,18,2,11,food & drink,2020,usa
6/11/20,6/11,34,4,19,2,15,food & drink,2020,usa
6/12/20,6/12,55,2,18,2,15,food & drink,2020,usa
6/13/20,6/13,74,5,24,1,27,food & drink,2020,usa
6/14/20,6/14,61,12,28,3,25,food & drink,2020,usa
6/15/20,6/15,43,4,17,2,14,food & drink,2020,usa
6/16/20,6/16,38,4,17,2,13,food & drink,2020,usa
6/17/20,6/17,38,5,21,2,15,food & drink,2020,usa
6/18/20,6/18,47,4,17,4,17,food & drink,2020,usa
6/19/20,6/19,60,4,19,0,22,food & drink,2020,usa
6/20/20,6/20,78,7,30,3,26,food & drink,2020,usa
6/21/20,6/21,88,14,44,5,32,food & drink,2020,usa
6/22/20,6/22,43,3,18,3,11,food & drink,2020,usa
6/23/20,6/23,40,3,16,3,14,food & drink,2020,usa
6/24/20,6/24,39,5,19,2,13,food & drink,2020,usa
6/25/20,6/25,40,4,16,1,12,food & drink,2020,usa
6/26/20,6/26,52,5,21,2,22,food & drink,2020,usa
6/27/20,6/27,71,6,24,1,26,food & drink,2020,usa
6/28/20,6/28,75,11,40,2,28,food & drink,2020,usa
6/29/20,6/29,41,2,19,2,18,food & drink,2020,usa
6/30/20,6/30,37,4,20,2,19,food & drink,2020,usa
7/1/20,7/1,34,4,19,2,13,food & drink,2020,usa
7/2/20,7/2,38,7,17,2,14,food & drink,2020,usa
7/3/20,7/3,59,8,25,4,24,food & drink,2020,usa
7/4/20,7/4,66,3,29,1,32,food & drink,2020,usa
7/5/20,7/5,58,6,24,2,24,food & drink,2020,usa
7/6/20,7/6,40,6,14,1,11,food & drink,2020,usa
7/7/20,7/7,41,4,20,2,15,food & drink,2020,usa
7/8/20,7/8,34,5,14,0,12,food & drink,2020,usa
7/9/20,7/9,37,5,13,2,13,food & drink,2020,usa
7/10/20,7/10,54,6,16,4,13,food & drink,2020,usa
7/11/20,7/11,65,5,25,1,25,food & drink,2020,usa
7/12/20,7/12,58,8,30,3,24,food & drink,2020,usa
7/13/20,7/13,35,4,14,2,14,food & drink,2020,usa
7/14/20,7/14,40,3,17,2,11,food & drink,2020,usa
7/15/20,7/15,34,3,17,1,10,food & drink,2020,usa
7/16/20,7/16,49,3,17,3,12,food & drink,2020,usa
7/17/20,7/17,53,6,16,2,15,food & drink,2020,usa
7/18/20,7/18,69,8,24,4,21,food & drink,2020,usa
7/19/20,7/19,72,9,29,3,30,food & drink,2020,usa
7/20/20,7/20,47,4,16,1,14,food & drink,2020,usa
7/21/20,7/21,40,4,17,2,17,food & drink,2020,usa
7/22/20,7/22,39,4,17,3,13,food & drink,2020,usa
7/23/20,7/23,48,8,16,3,22,food & drink,2020,usa
7/24/20,7/24,61,5,21,2,27,food & drink,2020,usa
7/25/20,7/25,80,6,22,3,24,food & drink,2020,usa
7/26/20,7/26,65,11,22,3,23,food & drink,2020,usa
7/27/20,7/27,43,4,16,2,7,food & drink,2020,usa
7/28/20,7/28,41,1,12,2,9,food & drink,2020,usa
7/29/20,7/29,46,4,22,1,10,food & drink,2020,usa
7/30/20,7/30,43,4,17,3,18,food & drink,2020,usa
7/31/20,7/31,65,5,17,2,13,food & drink,2020,usa
8/1/20,8/1,76,5,18,2,21,food & drink,2020,usa
8/2/20,8/2,65,8,21,3,20,food & drink,2020,usa
8/3/20,8/3,39,4,15,2,11,food & drink,2020,usa
8/4/20,8/4,44,3,13,2,11,food & drink,2020,usa
8/5/20,8/5,35,3,13,2,13,food & drink,2020,usa
8/6/20,8/6,46,3,9,1,12,food & drink,2020,usa
8/7/20,8/7,50,4,20,2,18,food & drink,2020,usa
8/8/20,8/8,77,4,24,2,23,food & drink,2020,usa
8/9/20,8/9,72,10,18,3,17,food & drink,2020,usa
8/10/20,8/10,43,4,18,2,13,food & drink,2020,usa
8/11/20,8/11,36,3,18,2,12,food & drink,2020,usa
8/12/20,8/12,47,2,19,2,12,food & drink,2020,usa
8/13/20,8/13,47,3,14,3,18,food & drink,2020,usa
8/14/20,8/14,74,2,17,2,23,food & drink,2020,usa
8/15/20,8/15,79,5,21,1,24,food & drink,2020,usa
8/16/20,8/16,68,6,32,1,29,food & drink,2020,usa
8/17/20,8/17,46,1,17,0,17,food & drink,2020,usa
