Day,m_day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/16,1/1,51,2,25,2,17,food & drink,2016,usa
1/2/16,1/2,53,2,26,2,21,food & drink,2016,usa
1/3/16,1/3,39,2,14,2,11,food & drink,2016,usa
1/4/16,1/4,25,2,10,4,11,food & drink,2016,usa
1/5/16,1/5,23,1,9,1,7,food & drink,2016,usa
1/6/16,1/6,24,1,8,3,9,food & drink,2016,usa
1/7/16,1/7,33,3,14,2,9,food & drink,2016,usa
1/8/16,1/8,35,4,8,4,13,food & drink,2016,usa
1/9/16,1/9,48,2,15,3,14,food & drink,2016,usa
1/10/16,1/10,41,5,15,6,15,food & drink,2016,usa
1/11/16,1/11,27,1,10,1,8,food & drink,2016,usa
1/12/16,1/12,29,0,12,1,10,food & drink,2016,usa
1/13/16,1/13,30,2,9,4,10,food & drink,2016,usa
1/14/16,1/14,33,0,6,3,6,food & drink,2016,usa
1/15/16,1/15,31,1,11,1,7,food & drink,2016,usa
1/16/16,1/16,52,2,15,4,17,food & drink,2016,usa
1/17/16,1/17,41,2,16,3,17,food & drink,2016,usa
1/18/16,1/18,29,2,9,2,14,food & drink,2016,usa
1/19/16,1/19,31,1,11,3,17,food & drink,2016,usa
1/20/16,1/20,22,3,7,0,8,food & drink,2016,usa
1/21/16,1/21,32,0,6,3,13,food & drink,2016,usa
1/22/16,1/22,35,1,11,1,12,food & drink,2016,usa
1/23/16,1/23,37,2,13,4,16,food & drink,2016,usa
1/24/16,1/24,33,2,12,4,19,food & drink,2016,usa
1/25/16,1/25,26,3,5,1,11,food & drink,2016,usa
1/26/16,1/26,27,0,10,2,12,food & drink,2016,usa
1/27/16,1/27,23,4,11,1,12,food & drink,2016,usa
1/28/16,1/28,33,1,5,2,16,food & drink,2016,usa
1/29/16,1/29,31,1,11,1,15,food & drink,2016,usa
1/30/16,1/30,51,2,15,3,27,food & drink,2016,usa
1/31/16,1/31,38,3,11,2,20,food & drink,2016,usa
2/1/16,2/1,27,2,7,2,7,food & drink,2016,usa
2/2/16,2/2,30,1,9,0,9,food & drink,2016,usa
2/3/16,2/3,30,0,10,1,14,food & drink,2016,usa
2/4/16,2/4,29,3,10,2,13,food & drink,2016,usa
2/5/16,2/5,37,1,14,2,9,food & drink,2016,usa
2/6/16,2/6,63,3,12,3,20,food & drink,2016,usa
2/7/16,2/7,39,2,20,2,22,food & drink,2016,usa
2/8/16,2/8,32,1,7,0,12,food & drink,2016,usa
2/9/16,2/9,36,0,9,1,3,food & drink,2016,usa
2/10/16,2/10,39,1,8,2,9,food & drink,2016,usa
2/11/16,2/11,47,2,10,2,15,food & drink,2016,usa
2/12/16,2/12,54,0,14,4,11,food & drink,2016,usa
2/13/16,2/13,85,2,26,2,16,food & drink,2016,usa
2/14/16,2/14,93,2,27,3,23,food & drink,2016,usa
2/15/16,2/15,50,1,13,2,18,food & drink,2016,usa
2/16/16,2/16,27,1,7,2,11,food & drink,2016,usa
2/17/16,2/17,30,1,10,1,11,food & drink,2016,usa
2/18/16,2/18,37,1,7,1,15,food & drink,2016,usa
2/19/16,2/19,57,1,12,1,16,food & drink,2016,usa
2/20/16,2/20,67,2,12,3,21,food & drink,2016,usa
2/21/16,2/21,56,3,11,3,16,food & drink,2016,usa
2/22/16,2/22,35,1,7,2,10,food & drink,2016,usa
2/23/16,2/23,33,1,11,1,9,food & drink,2016,usa
2/24/16,2/24,28,1,9,1,11,food & drink,2016,usa
2/25/16,2/25,37,2,8,3,10,food & drink,2016,usa
2/26/16,2/26,50,3,13,2,15,food & drink,2016,usa
2/27/16,2/27,76,3,15,2,23,food & drink,2016,usa
2/28/16,2/28,57,0,19,3,25,food & drink,2016,usa
2/29/16,2/29,30,1,7,5,14,food & drink,2016,usa
3/1/16,3/1,31,2,9,2,9,food & drink,2016,usa
3/2/16,3/2,33,2,8,0,9,food & drink,2016,usa
3/3/16,3/3,30,2,5,2,14,food & drink,2016,usa
3/4/16,3/4,50,1,12,0,11,food & drink,2016,usa
3/5/16,3/5,64,0,9,3,22,food & drink,2016,usa
3/6/16,3/6,52,2,11,3,20,food & drink,2016,usa
3/7/16,3/7,29,1,10,3,14,food & drink,2016,usa
3/8/16,3/8,39,1,7,3,12,food & drink,2016,usa
3/9/16,3/9,30,1,8,2,8,food & drink,2016,usa
3/10/16,3/10,41,1,8,1,6,food & drink,2016,usa
3/11/16,3/11,48,2,8,2,16,food & drink,2016,usa
3/12/16,3/12,72,2,7,2,22,food & drink,2016,usa
3/13/16,3/13,55,2,11,3,20,food & drink,2016,usa
3/14/16,3/14,34,3,9,1,9,food & drink,2016,usa
3/15/16,3/15,32,1,6,1,10,food & drink,2016,usa
3/16/16,3/16,36,1,6,2,9,food & drink,2016,usa
3/17/16,3/17,36,0,11,2,10,food & drink,2016,usa
3/18/16,3/18,54,3,15,5,18,food & drink,2016,usa
3/19/16,3/19,66,3,12,2,19,food & drink,2016,usa
3/20/16,3/20,58,2,13,0,25,food & drink,2016,usa
3/21/16,3/21,35,1,11,1,8,food & drink,2016,usa
3/22/16,3/22,45,1,9,2,12,food & drink,2016,usa
3/23/16,3/23,33,4,3,1,7,food & drink,2016,usa
3/24/16,3/24,44,2,13,1,12,food & drink,2016,usa
3/25/16,3/25,77,2,17,2,20,food & drink,2016,usa
3/26/16,3/26,72,2,8,3,22,food & drink,2016,usa
3/27/16,3/27,54,0,9,4,12,food & drink,2016,usa
3/28/16,3/28,32,0,8,3,13,food & drink,2016,usa
3/29/16,3/29,42,1,5,1,13,food & drink,2016,usa
3/30/16,3/30,36,1,8,3,12,food & drink,2016,usa
3/31/16,3/31,35,1,7,2,13,food & drink,2016,usa
4/1/16,4/1,46,1,7,4,16,food & drink,2016,usa
4/2/16,4/2,73,3,9,2,26,food & drink,2016,usa
4/3/16,4/3,64,0,15,3,19,food & drink,2016,usa
4/4/16,4/4,33,2,8,0,12,food & drink,2016,usa
4/5/16,4/5,31,1,9,1,11,food & drink,2016,usa
4/6/16,4/6,37,0,7,2,11,food & drink,2016,usa
4/7/16,4/7,37,0,7,2,15,food & drink,2016,usa
4/8/16,4/8,44,3,10,3,24,food & drink,2016,usa
4/9/16,4/9,75,2,15,3,27,food & drink,2016,usa
4/10/16,4/10,54,2,12,2,16,food & drink,2016,usa
4/11/16,4/11,29,1,8,1,16,food & drink,2016,usa
4/12/16,4/12,28,0,7,1,8,food & drink,2016,usa
4/13/16,4/13,28,1,9,0,10,food & drink,2016,usa
4/14/16,4/14,34,1,9,3,11,food & drink,2016,usa
4/15/16,4/15,46,1,6,3,15,food & drink,2016,usa
4/16/16,4/16,67,2,5,3,26,food & drink,2016,usa
4/17/16,4/17,57,0,12,2,19,food & drink,2016,usa
4/18/16,4/18,30,2,7,0,11,food & drink,2016,usa
4/19/16,4/19,29,0,7,2,15,food & drink,2016,usa
4/20/16,4/20,35,2,8,1,8,food & drink,2016,usa
4/21/16,4/21,40,1,5,3,14,food & drink,2016,usa
4/22/16,4/22,42,3,10,1,12,food & drink,2016,usa
4/23/16,4/23,65,2,12,0,23,food & drink,2016,usa
4/24/16,4/24,59,4,16,3,14,food & drink,2016,usa
4/25/16,4/25,34,1,10,1,10,food & drink,2016,usa
4/26/16,4/26,33,0,9,0,13,food & drink,2016,usa
4/27/16,4/27,30,0,7,3,13,food & drink,2016,usa
4/28/16,4/28,36,0,10,0,8,food & drink,2016,usa
4/29/16,4/29,46,2,6,1,19,food & drink,2016,usa
4/30/16,4/30,61,3,9,3,20,food & drink,2016,usa
5/1/16,5/1,56,3,17,2,21,food & drink,2016,usa
5/2/16,5/2,34,1,5,2,8,food & drink,2016,usa
5/3/16,5/3,34,1,5,3,12,food & drink,2016,usa
5/4/16,5/4,43,2,8,1,17,food & drink,2016,usa
5/5/16,5/5,45,1,8,1,9,food & drink,2016,usa
5/6/16,5/6,56,2,6,1,14,food & drink,2016,usa
5/7/16,5/7,75,2,18,4,26,food & drink,2016,usa
5/8/16,5/8,88,2,23,2,30,food & drink,2016,usa
5/9/16,5/9,36,1,10,3,12,food & drink,2016,usa
5/10/16,5/10,31,1,6,0,12,food & drink,2016,usa
5/11/16,5/11,34,1,10,1,10,food & drink,2016,usa
5/12/16,5/12,34,1,8,1,12,food & drink,2016,usa
5/13/16,5/13,55,2,10,2,17,food & drink,2016,usa
5/14/16,5/14,84,4,8,2,26,food & drink,2016,usa
5/15/16,5/15,57,4,12,2,23,food & drink,2016,usa
5/16/16,5/16,41,3,10,1,10,food & drink,2016,usa
5/17/16,5/17,44,0,8,3,17,food & drink,2016,usa
5/18/16,5/18,40,0,7,0,16,food & drink,2016,usa
5/19/16,5/19,39,2,10,1,13,food & drink,2016,usa
5/20/16,5/20,47,0,8,2,17,food & drink,2016,usa
5/21/16,5/21,74,3,18,2,23,food & drink,2016,usa
5/22/16,5/22,63,0,17,2,24,food & drink,2016,usa
5/23/16,5/23,37,1,7,2,12,food & drink,2016,usa
5/24/16,5/24,32,1,8,1,12,food & drink,2016,usa
5/25/16,5/25,35,1,6,1,11,food & drink,2016,usa
5/26/16,5/26,37,2,9,2,14,food & drink,2016,usa
5/27/16,5/27,51,2,6,3,15,food & drink,2016,usa
5/28/16,5/28,69,0,17,2,23,food & drink,2016,usa
5/29/16,5/29,89,3,14,2,41,food & drink,2016,usa
5/30/16,5/30,58,2,13,2,26,food & drink,2016,usa
5/31/16,5/31,36,2,7,1,9,food & drink,2016,usa
6/1/16,6/1,31,3,5,1,11,food & drink,2016,usa
6/2/16,6/2,38,1,3,1,13,food & drink,2016,usa
6/3/16,6/3,48,2,7,3,19,food & drink,2016,usa
6/4/16,6/4,72,4,11,3,24,food & drink,2016,usa
6/5/16,6/5,76,0,13,3,18,food & drink,2016,usa
6/6/16,6/6,40,4,12,1,17,food & drink,2016,usa
6/7/16,6/7,36,1,7,1,12,food & drink,2016,usa
6/8/16,6/8,35,3,6,0,9,food & drink,2016,usa
6/9/16,6/9,35,2,14,3,9,food & drink,2016,usa
6/10/16,6/10,48,2,11,3,15,food & drink,2016,usa
6/11/16,6/11,58,2,10,5,26,food & drink,2016,usa
6/12/16,6/12,62,0,12,2,22,food & drink,2016,usa
6/13/16,6/13,37,1,6,1,15,food & drink,2016,usa
6/14/16,6/14,38,2,6,3,18,food & drink,2016,usa
6/15/16,6/15,41,2,10,3,19,food & drink,2016,usa
6/16/16,6/16,47,2,13,2,14,food & drink,2016,usa
6/17/16,6/17,58,2,11,2,15,food & drink,2016,usa
6/18/16,6/18,81,5,16,4,22,food & drink,2016,usa
6/19/16,6/19,91,2,15,4,33,food & drink,2016,usa
6/20/16,6/20,40,2,7,0,13,food & drink,2016,usa
6/21/16,6/21,40,2,6,0,15,food & drink,2016,usa
6/22/16,6/22,43,0,8,2,15,food & drink,2016,usa
6/23/16,6/23,45,2,8,2,15,food & drink,2016,usa
6/24/16,6/24,66,4,4,2,20,food & drink,2016,usa
6/25/16,6/25,91,2,10,2,21,food & drink,2016,usa
6/26/16,6/26,80,3,12,2,19,food & drink,2016,usa
6/27/16,6/27,42,1,11,1,21,food & drink,2016,usa
6/28/16,6/28,46,1,8,1,12,food & drink,2016,usa
6/29/16,6/29,46,2,7,2,12,food & drink,2016,usa
6/30/16,6/30,47,2,7,2,14,food & drink,2016,usa
7/1/16,7/1,51,2,12,2,17,food & drink,2016,usa
7/2/16,7/2,86,5,15,0,19,food & drink,2016,usa
7/3/16,7/3,93,4,19,2,24,food & drink,2016,usa
7/4/16,7/4,59,2,16,2,29,food & drink,2016,usa
7/5/16,7/5,41,2,9,2,16,food & drink,2016,usa
7/6/16,7/6,43,2,5,2,13,food & drink,2016,usa
7/7/16,7/7,46,2,8,3,15,food & drink,2016,usa
7/8/16,7/8,57,2,12,2,15,food & drink,2016,usa
7/9/16,7/9,85,2,18,5,24,food & drink,2016,usa
7/10/16,7/10,77,2,15,2,17,food & drink,2016,usa
7/11/16,7/11,47,3,6,2,13,food & drink,2016,usa
7/12/16,7/12,35,2,9,2,12,food & drink,2016,usa
7/13/16,7/13,58,2,11,2,14,food & drink,2016,usa
7/14/16,7/14,54,1,10,2,11,food & drink,2016,usa
7/15/16,7/15,61,2,8,2,16,food & drink,2016,usa
7/16/16,7/16,100,2,11,3,27,food & drink,2016,usa
7/17/16,7/17,82,4,19,4,20,food & drink,2016,usa
7/18/16,7/18,56,3,10,2,17,food & drink,2016,usa
7/19/16,7/19,54,0,9,2,11,food & drink,2016,usa
7/20/16,7/20,50,6,6,2,13,food & drink,2016,usa
7/21/16,7/21,43,2,10,3,13,food & drink,2016,usa
7/22/16,7/22,69,3,8,2,16,food & drink,2016,usa
7/23/16,7/23,90,3,18,3,24,food & drink,2016,usa
7/24/16,7/24,88,2,8,2,22,food & drink,2016,usa
7/25/16,7/25,50,2,9,2,16,food & drink,2016,usa
7/26/16,7/26,41,2,8,2,12,food & drink,2016,usa
7/27/16,7/27,44,2,8,2,14,food & drink,2016,usa
7/28/16,7/28,46,2,11,2,15,food & drink,2016,usa
7/29/16,7/29,60,0,6,5,15,food & drink,2016,usa
7/30/16,7/30,92,2,12,2,27,food & drink,2016,usa
7/31/16,7/31,72,2,16,5,18,food & drink,2016,usa
8/1/16,8/1,49,3,13,2,8,food & drink,2016,usa
8/2/16,8/2,47,3,10,3,12,food & drink,2016,usa
8/3/16,8/3,41,2,10,0,14,food & drink,2016,usa
