Region,seafood restaurant: (1/1/16 - 5/15/16),seafood recipe: (1/1/16 - 5/15/16),seafood delivery: (1/1/16 - 5/15/16),sushi take out: (1/1/16 - 5/15/16),bbq restaurant: (1/1/16 - 5/15/16),category,date_range,year,country
South Carolina,77%,2%,10%,<1%,11%,food & drink, (1/1/18 - 6/15/18),2018,usa
Louisiana,73%,1%,17%,<1%,9%,food & drink, (1/1/18 - 6/15/18),2018,usa
Hawaii,66%,1%,12%,2%,19%,food & drink, (1/1/18 - 6/15/18),2018,usa
Florida,73%,1%,11%,1%,14%,food & drink, (1/1/18 - 6/15/18),2018,usa
North Carolina,72%,1%,11%,1%,15%,food & drink, (1/1/18 - 6/15/18),2018,usa
Maryland,72%,2%,14%,<1%,12%,food & drink, (1/1/18 - 6/15/18),2018,usa
Georgia,66%,2%,14%,<1%,18%,food & drink, (1/1/18 - 6/15/18),2018,usa
Delaware,70%,6%,16%,,8%,food & drink, (1/1/18 - 6/15/18),2018,usa
District of Columbia,71%,2%,20%,,7%,food & drink, (1/1/18 - 6/15/18),2018,usa
Virginia,69%,1%,15%,2%,13%,food & drink, (1/1/18 - 6/15/18),2018,usa
Mississippi,68%,3%,15%,,14%,food & drink, (1/1/18 - 6/15/18),2018,usa
Alabama,63%,1%,15%,,21%,food & drink, (1/1/18 - 6/15/18),2018,usa
Massachusetts,66%,4%,15%,2%,13%,food & drink, (1/1/18 - 6/15/18),2018,usa
Texas,60%,2%,16%,<1%,22%,food & drink, (1/1/18 - 6/15/18),2018,usa
New Jersey,63%,1%,13%,1%,22%,food & drink, (1/1/18 - 6/15/18),2018,usa
New York,57%,2%,18%,1%,22%,food & drink, (1/1/18 - 6/15/18),2018,usa
California,59%,1%,12%,1%,27%,food & drink, (1/1/18 - 6/15/18),2018,usa
Oregon,62%,<1%,15%,2%,21%,food & drink, (1/1/18 - 6/15/18),2018,usa
New Hampshire,62%,3%,26%,,9%,food & drink, (1/1/18 - 6/15/18),2018,usa
Connecticut,57%,2%,20%,3%,18%,food & drink, (1/1/18 - 6/15/18),2018,usa
Pennsylvania,56%,5%,23%,1%,15%,food & drink, (1/1/18 - 6/15/18),2018,usa
Rhode Island,59%,6%,18%,,17%,food & drink, (1/1/18 - 6/15/18),2018,usa
Nevada,50%,1%,17%,1%,31%,food & drink, (1/1/18 - 6/15/18),2018,usa
Maine,57%,5%,28%,,10%,food & drink, (1/1/18 - 6/15/18),2018,usa
Illinois,48%,1%,19%,1%,31%,food & drink, (1/1/18 - 6/15/18),2018,usa
Tennessee,45%,2%,15%,1%,37%,food & drink, (1/1/18 - 6/15/18),2018,usa
Washington,53%,1%,23%,1%,22%,food & drink, (1/1/18 - 6/15/18),2018,usa
Arkansas,50%,2%,24%,,24%,food & drink, (1/1/18 - 6/15/18),2018,usa
Arizona,47%,1%,20%,2%,30%,food & drink, (1/1/18 - 6/15/18),2018,usa
Kentucky,51%,1%,22%,,26%,food & drink, (1/1/18 - 6/15/18),2018,usa
Alaska,70%,,30%,,,food & drink, (1/1/18 - 6/15/18),2018,usa
Missouri,46%,1%,20%,1%,32%,food & drink, (1/1/18 - 6/15/18),2018,usa
Michigan,45%,1%,23%,1%,30%,food & drink, (1/1/18 - 6/15/18),2018,usa
West Virginia,56%,,20%,,24%,food & drink, (1/1/18 - 6/15/18),2018,usa
Ohio,49%,1%,23%,2%,25%,food & drink, (1/1/18 - 6/15/18),2018,usa
Colorado,41%,2%,21%,2%,34%,food & drink, (1/1/18 - 6/15/18),2018,usa
New Mexico,52%,,18%,,30%,food & drink, (1/1/18 - 6/15/18),2018,usa
Vermont,47%,,21%,,32%,food & drink, (1/1/18 - 6/15/18),2018,usa
Indiana,49%,2%,21%,1%,27%,food & drink, (1/1/18 - 6/15/18),2018,usa
Minnesota,47%,2%,24%,2%,25%,food & drink, (1/1/18 - 6/15/18),2018,usa
Wisconsin,43%,2%,24%,3%,28%,food & drink, (1/1/18 - 6/15/18),2018,usa
Kansas,44%,2%,21%,,33%,food & drink, (1/1/18 - 6/15/18),2018,usa
Oklahoma,40%,3%,23%,,34%,food & drink, (1/1/18 - 6/15/18),2018,usa
Utah,41%,3%,14%,7%,35%,food & drink, (1/1/18 - 6/15/18),2018,usa
Nebraska,46%,,24%,5%,25%,food & drink, (1/1/18 - 6/15/18),2018,usa
South Dakota,100%,,,,,food & drink, (1/1/18 - 6/15/18),2018,usa
Iowa,23%,,34%,4%,39%,food & drink, (1/1/18 - 6/15/18),2018,usa
Montana,25%,,50%,,25%,food & drink, (1/1/18 - 6/15/18),2018,usa
Idaho,34%,,37%,,29%,food & drink, (1/1/18 - 6/15/18),2018,usa
North Dakota,43%,,57%,,,food & drink, (1/1/18 - 6/15/18),2018,usa
Wyoming,,,,,,food & drink, (1/1/18 - 6/15/18),2018,usa
