Category: Food & Drink

Day,bbq restaurant: (United States),seafood restaurant: (United States),seafood delivery: (United States),seafood recipe: (United States),covid: (United States)
2020-01-01,8,14,1,7,0
2020-01-02,5,11,1,4,0
2020-01-03,4,13,<1,4,0
2020-01-04,5,16,<1,4,0
2020-01-05,5,13,<1,5,0
2020-01-06,3,7,2,2,0
2020-01-07,4,8,<1,2,0
2020-01-08,3,16,<1,2,0
2020-01-09,3,9,<1,2,0
2020-01-10,4,12,1,3,0
2020-01-11,5,17,1,4,0
2020-01-12,4,15,1,4,0
2020-01-13,3,11,1,2,0
2020-01-14,3,10,<1,3,0
2020-01-15,3,8,<1,2,0
2020-01-16,3,11,<1,3,0
2020-01-17,4,10,1,2,0
2020-01-18,5,14,1,5,0
2020-01-19,5,15,1,4,0
2020-01-20,4,13,1,3,0
2020-01-21,4,7,<1,3,0
2020-01-22,3,9,<1,2,0
2020-01-23,3,9,<1,2,0
2020-01-24,4,15,0,2,0
2020-01-25,5,14,<1,5,0
2020-01-26,3,12,<1,3,0
2020-01-27,2,11,1,1,0
2020-01-28,3,7,1,2,0
2020-01-29,3,9,<1,2,0
2020-01-30,2,9,1,3,0
2020-01-31,3,12,<1,3,0
2020-02-01,4,15,<1,4,0
2020-02-02,4,12,1,5,0
2020-02-03,2,8,1,3,0
2020-02-04,3,8,<1,2,0
2020-02-05,2,9,<1,2,0
2020-02-06,3,9,<1,3,0
2020-02-07,4,12,<1,2,0
2020-02-08,6,18,<1,3,0
2020-02-09,5,14,1,4,0
2020-02-10,3,9,1,3,0
2020-02-11,2,10,1,3,<1
2020-02-12,4,9,<1,3,<1
2020-02-13,3,13,1,3,<1
2020-02-14,4,22,2,4,<1
2020-02-15,6,23,1,5,<1
2020-02-16,7,15,1,6,0
2020-02-17,3,10,2,4,0
2020-02-18,2,9,1,2,<1
2020-02-19,3,9,1,3,<1
2020-02-20,4,9,<1,2,<1
2020-02-21,5,9,<1,5,1
2020-02-22,5,14,1,4,1
2020-02-23,5,15,1,3,1
2020-02-24,4,7,1,3,1
2020-02-25,3,8,1,3,1
2020-02-26,3,8,1,3,2
2020-02-27,3,10,<1,3,2
2020-02-28,4,15,<1,3,2
2020-02-29,7,17,2,3,3
2020-03-01,4,17,1,4,3
2020-03-02,3,8,1,3,3
2020-03-03,2,8,<1,3,4
2020-03-04,2,8,<1,2,3
2020-03-05,4,10,<1,2,5
2020-03-06,3,13,<1,3,6
2020-03-07,6,20,<1,3,7
2020-03-08,5,14,1,3,7
2020-03-09,3,8,1,2,7
2020-03-10,3,9,<1,3,11
2020-03-11,3,6,<1,2,12
2020-03-12,2,7,<1,2,26
2020-03-13,2,8,1,2,30
2020-03-14,3,12,1,2,43
2020-03-15,3,8,1,3,54
2020-03-16,2,4,1,2,63
2020-03-17,1,4,1,3,58
2020-03-18,3,3,1,2,62
2020-03-19,2,5,1,1,68
2020-03-20,2,4,<1,3,74
2020-03-21,3,5,1,3,74
2020-03-22,2,5,1,3,82
2020-03-23,1,2,2,1,77
2020-03-24,2,3,1,2,65
2020-03-25,2,3,1,2,74
2020-03-26,2,3,1,2,75
2020-03-27,3,5,1,3,78
2020-03-28,3,6,1,4,93
2020-03-29,2,5,1,5,92
2020-03-30,2,2,2,3,90
2020-03-31,2,4,1,3,80
2020-04-01,1,3,1,3,82
2020-04-02,1,4,<1,3,78
2020-04-03,3,4,2,5,80
2020-04-04,3,6,2,5,100
2020-04-05,3,5,2,6,93
2020-04-06,1,3,2,3,74
2020-04-07,2,4,1,5,74
2020-04-08,2,3,1,3,73
2020-04-09,1,4,1,4,75
2020-04-10,4,7,2,8,81
2020-04-11,3,7,2,7,84
2020-04-12,4,3,2,6,65
2020-04-13,1,3,2,4,61
2020-04-14,2,2,1,5,57
2020-04-15,2,4,1,5,57
2020-04-16,2,6,1,5,61
2020-04-17,3,6,2,4,64
2020-04-18,3,6,2,7,67
2020-04-19,3,5,2,7,58
2020-04-20,3,4,2,4,51
2020-04-21,2,4,1,5,52
2020-04-22,2,4,1,3,55
2020-04-23,3,4,1,4,49
2020-04-24,4,7,1,6,54
2020-04-25,4,8,2,5,54
2020-04-26,3,6,1,5,57
2020-04-27,2,4,2,3,50
2020-04-28,2,4,1,5,45
2020-04-29,2,5,1,4,49
2020-04-30,2,5,2,4,47
2020-05-01,3,7,1,4,45
2020-05-02,5,9,2,5,50
2020-05-03,3,7,1,6,54
2020-05-04,2,4,1,5,48
2020-05-05,1,5,1,5,51
2020-05-06,3,4,1,3,46
2020-05-07,1,6,1,4,47
2020-05-08,3,9,1,5,50
2020-05-09,4,15,1,9,55
