Category: Food & Drink

Day,bbq restaurant: (United States),seafood restaurant: (United States),seafood delivery: (United States),seafood recipe: (United States)
2019-01-01,19,46,2,30
2019-01-02,12,33,2,14
2019-01-03,8,32,1,9
2019-01-04,12,35,1,12
2019-01-05,22,47,2,18
2019-01-06,15,37,2,10
2019-01-07,11,30,1,8
2019-01-08,11,33,2,7
2019-01-09,9,28,1,11
2019-01-10,12,32,1,8
2019-01-11,17,37,4,13
2019-01-12,18,49,5,21
2019-01-13,14,37,1,16
2019-01-14,14,23,1,8
2019-01-15,10,22,1,7
2019-01-16,12,30,2,15
2019-01-17,9,33,0,11
2019-01-18,14,34,1,10
2019-01-19,20,70,2,21
2019-01-20,14,42,1,27
2019-01-21,16,32,2,18
2019-01-22,14,25,1,7
2019-01-23,14,28,1,11
2019-01-24,10,27,0,7
2019-01-25,16,42,2,16
2019-01-26,24,59,2,13
2019-01-27,18,48,5,20
2019-01-28,13,32,1,10
2019-01-29,6,34,1,11
2019-01-30,8,30,3,13
2019-01-31,13,26,2,8
2019-02-01,13,36,3,12
2019-02-02,20,69,1,14
2019-02-03,14,49,3,18
2019-02-04,10,26,2,7
2019-02-05,11,31,1,6
2019-02-06,11,36,2,6
2019-02-07,12,37,2,10
2019-02-08,13,43,3,8
2019-02-09,16,65,5,15
2019-02-10,16,41,3,17
2019-02-11,8,29,1,6
2019-02-12,13,33,3,9
2019-02-13,15,33,0,9
2019-02-14,13,53,2,14
2019-02-15,13,64,1,14
2019-02-16,29,70,4,13
2019-02-17,27,71,2,19
2019-02-18,13,35,2,10
2019-02-19,8,29,1,10
2019-02-20,9,35,2,9
2019-02-21,12,39,2,8
2019-02-22,15,40,1,10
2019-02-23,21,67,2,14
2019-02-24,16,61,3,17
2019-02-25,10,35,2,7
2019-02-26,13,32,2,9
2019-02-27,11,32,3,7
2019-02-28,12,32,1,7
2019-03-01,13,37,1,13
2019-03-02,18,59,6,22
2019-03-03,16,46,2,20
2019-03-04,12,29,3,12
2019-03-05,13,29,1,12
2019-03-06,12,35,1,15
2019-03-07,10,39,1,9
2019-03-08,12,45,3,13
2019-03-09,22,72,5,13
2019-03-10,21,53,0,20
2019-03-11,11,33,3,5
2019-03-12,11,36,1,9
2019-03-13,7,35,1,7
2019-03-14,9,47,2,8
2019-03-15,16,52,2,13
2019-03-16,20,70,5,17
2019-03-17,20,50,2,11
2019-03-18,13,35,3,10
2019-03-19,13,33,1,6
2019-03-20,13,29,2,9
2019-03-21,11,32,1,7
2019-03-22,12,54,3,17
2019-03-23,32,75,4,19
2019-03-24,17,63,3,17
2019-03-25,10,51,2,9
2019-03-26,16,38,1,8
2019-03-27,15,27,2,10
2019-03-28,12,34,1,10
2019-03-29,15,49,2,6
2019-03-30,17,61,4,11
2019-03-31,20,54,2,12
2019-04-01,11,29,1,6
2019-04-02,10,38,1,7
2019-04-03,15,32,2,5
2019-04-04,11,33,1,9
2019-04-05,16,52,4,12
2019-04-06,22,65,1,11
2019-04-07,20,45,3,9
2019-04-08,9,34,1,8
2019-04-09,14,33,2,8
2019-04-10,12,32,2,7
2019-04-11,7,39,3,9
2019-04-12,12,43,1,8
2019-04-13,22,63,3,8
2019-04-14,18,50,4,15
2019-04-15,15,38,2,8
2019-04-16,11,36,2,9
2019-04-17,9,32,2,8
2019-04-18,17,39,0,6
2019-04-19,17,52,4,15
2019-04-20,16,68,2,12
2019-04-21,16,54,1,9
2019-04-22,11,38,4,6
2019-04-23,11,30,1,5
2019-04-24,10,31,2,4
2019-04-25,11,29,1,4
2019-04-26,18,41,3,5
2019-04-27,17,61,4,12
2019-04-28,16,54,2,12
2019-04-29,15,32,1,7
2019-04-30,14,32,2,11
2019-05-01,13,29,2,9
2019-05-02,14,34,1,9
2019-05-03,16,36,2,10
2019-05-04,20,75,2,12
2019-05-05,10,52,3,13
2019-05-06,12,34,2,6
2019-05-07,9,42,1,8
2019-05-08,11,36,1,11
2019-05-09,12,42,3,10
2019-05-10,16,56,2,8
2019-05-11,21,96,3,18
2019-05-12,22,100,6,17
2019-05-13,15,42,2,9
