Category: Food & Drink

Region,bbq restaurant: (1/1/19 - 5/13/19),seafood restaurant: (1/1/19 - 5/13/19),seafood delivery: (1/1/19 - 5/13/19),seafood recipe: (1/1/19 - 5/13/19)
South Carolina,14%,78%,2%,6%
Hawaii,19%,68%,3%,10%
Louisiana,6%,76%,2%,16%
Florida,14%,73%,2%,11%
Maryland,12%,74%,2%,12%
Georgia,15%,67%,3%,15%
North Carolina,16%,70%,2%,12%
Delaware,10%,70%,3%,17%
Mississippi,12%,67%,1%,20%
Alabama,20%,66%,1%,13%
Virginia,15%,65%,2%,18%
District of Columbia,15%,67%,4%,14%
New Jersey,25%,62%,1%,12%
Texas,25%,58%,2%,15%
Massachusetts,16%,65%,3%,16%
Connecticut,13%,69%,2%,16%
New York,23%,57%,2%,18%
California,26%,60%,<1%,14%
New Hampshire,15%,70%,,15%
Nevada,35%,42%,1%,22%
Maine,17%,53%,,30%
Tennessee,33%,49%,1%,17%
Illinois,27%,54%,2%,17%
Pennsylvania,17%,54%,5%,24%
Alaska,,31%,,69%
Washington,23%,49%,1%,27%
Arkansas,19%,53%,,28%
Oregon,21%,56%,2%,21%
Arizona,29%,55%,2%,14%
Rhode Island,17%,53%,5%,25%
Oklahoma,34%,52%,2%,12%
Kentucky,31%,46%,3%,20%
Indiana,27%,50%,2%,21%
Michigan,25%,48%,2%,25%
West Virginia,25%,48%,,27%
Ohio,26%,50%,1%,23%
Missouri,30%,46%,1%,23%
Vermont,14%,57%,,29%
Wyoming,100%,,,
Wisconsin,30%,49%,2%,19%
New Mexico,22%,49%,4%,25%
Colorado,36%,44%,1%,19%
Kansas,41%,34%,8%,17%
Montana,31%,,,69%
North Dakota,,64%,,36%
Iowa,30%,20%,3%,47%
South Dakota,,100%,,
Minnesota,36%,35%,2%,27%
Utah,36%,42%,,22%
Nebraska,27%,30%,,43%
Idaho,42%,32%,,26%
