Category: Food & Drink,,,,,,
,,,,,,
Day,bbq restaurant: (United States),seafood restaurant: (United States),seafood delivery: (United States),seafood recipe: (United States),category,year
1/1/20,31,67,4,34,food_drink,2020
1/2/20,31,52,5,25,food_drink,2020
1/3/20,25,64,0,25,food_drink,2020
1/4/20,27,69,3,17,food_drink,2020
1/5/20,20,45,3,26,food_drink,2020
1/6/20,11,29,8,9,food_drink,2020
1/7/20,12,39,1,13,food_drink,2020
1/8/20,20,84,0,7,food_drink,2020
1/9/20,15,38,1,7,food_drink,2020
1/10/20,20,58,3,10,food_drink,2020
1/11/20,21,96,7,21,food_drink,2020
1/12/20,17,68,3,18,food_drink,2020
1/13/20,20,54,4,5,food_drink,2020
1/14/20,17,53,0,11,food_drink,2020
1/15/20,21,43,0,10,food_drink,2020
1/16/20,14,53,1,14,food_drink,2020
1/17/20,9,39,5,11,food_drink,2020
1/18/20,19,63,5,21,food_drink,2020
1/19/20,23,63,4,23,food_drink,2020
1/20/20,23,63,6,22,food_drink,2020
1/21/20,24,42,2,16,food_drink,2020
1/22/20,10,52,0,10,food_drink,2020
1/23/20,11,43,0,9,food_drink,2020
1/24/20,16,73,0,10,food_drink,2020
1/25/20,24,69,1,26,food_drink,2020
1/26/20,11,69,1,15,food_drink,2020
1/27/20,7,45,4,6,food_drink,2020
1/28/20,13,41,3,8,food_drink,2020
1/29/20,9,41,1,10,food_drink,2020
1/30/20,7,40,0,14,food_drink,2020
1/31/20,15,55,1,15,food_drink,2020
2/1/20,16,69,3,22,food_drink,2020
2/2/20,17,65,0,21,food_drink,2020
2/3/20,11,43,5,11,food_drink,2020
2/4/20,12,47,2,15,food_drink,2020
2/5/20,16,36,1,9,food_drink,2020
2/6/20,13,41,0,13,food_drink,2020
2/7/20,17,58,1,9,food_drink,2020
2/8/20,36,97,1,13,food_drink,2020
2/9/20,27,71,1,20,food_drink,2020
2/10/20,17,46,11,13,food_drink,2020
2/11/20,10,55,5,14,food_drink,2020
2/12/20,14,44,1,12,food_drink,2020
2/13/20,16,73,5,14,food_drink,2020
2/14/20,18,100,9,21,food_drink,2020
2/15/20,24,98,5,21,food_drink,2020
2/16/20,35,67,3,31,food_drink,2020
2/17/20,14,48,11,16,food_drink,2020
2/18/20,10,47,5,4,food_drink,2020
2/19/20,15,40,2,19,food_drink,2020
2/20/20,17,37,1,8,food_drink,2020
2/21/20,20,41,0,23,food_drink,2020
2/22/20,22,70,5,17,food_drink,2020
2/23/20,30,77,3,18,food_drink,2020
2/24/20,20,34,3,16,food_drink,2020
2/25/20,14,43,3,10,food_drink,2020
2/26/20,12,40,4,12,food_drink,2020
2/27/20,11,49,1,21,food_drink,2020
2/28/20,17,62,0,14,food_drink,2020
2/29/20,33,81,6,14,food_drink,2020
3/1/20,26,87,4,26,food_drink,2020
3/2/20,18,31,6,11,food_drink,2020
3/3/20,14,33,1,14,food_drink,2020
3/4/20,7,38,0,10,food_drink,2020
3/5/20,23,44,0,8,food_drink,2020
3/6/20,16,65,1,10,food_drink,2020
3/7/20,26,99,0,21,food_drink,2020
3/8/20,17,50,0,14,food_drink,2020
3/9/20,16,42,8,13,food_drink,2020
3/10/20,9,44,2,13,food_drink,2020
3/11/20,10,29,0,12,food_drink,2020
3/12/20,14,38,0,12,food_drink,2020
3/13/20,9,32,3,9,food_drink,2020
3/14/20,12,58,4,10,food_drink,2020
3/15/20,14,43,9,11,food_drink,2020
3/16/20,8,18,5,8,food_drink,2020
3/17/20,4,17,3,13,food_drink,2020
3/18/20,15,15,3,11,food_drink,2020
3/19/20,8,26,4,1,food_drink,2020
3/20/20,9,17,3,20,food_drink,2020
3/21/20,13,30,7,17,food_drink,2020
3/22/20,10,26,6,17,food_drink,2020
3/23/20,8,12,8,5,food_drink,2020
3/24/20,7,15,2,11,food_drink,2020
3/25/20,14,14,5,8,food_drink,2020
3/26/20,12,14,8,10,food_drink,2020
3/27/20,13,25,7,9,food_drink,2020
3/28/20,19,26,8,25,food_drink,2020
3/29/20,15,25,11,26,food_drink,2020
3/30/20,8,10,11,16,food_drink,2020
3/31/20,9,21,6,13,food_drink,2020
4/1/20,7,20,3,16,food_drink,2020
4/2/20,5,18,1,11,food_drink,2020
4/3/20,16,22,11,25,food_drink,2020
4/4/20,17,20,8,26,food_drink,2020
4/5/20,14,25,11,20,food_drink,2020
4/6/20,3,15,10,13,food_drink,2020
4/7/20,4,20,7,22,food_drink,2020
4/8/20,11,12,3,15,food_drink,2020
4/9/20,10,17,4,17,food_drink,2020
4/10/20,17,30,12,36,food_drink,2020
4/11/20,19,38,11,31,food_drink,2020
4/12/20,19,17,13,33,food_drink,2020
4/13/20,6,18,14,18,food_drink,2020
4/14/20,6,14,5,25,food_drink,2020
4/15/20,9,14,4,15,food_drink,2020
4/16/20,5,25,5,24,food_drink,2020
4/17/20,15,31,8,29,food_drink,2020
4/18/20,18,39,11,31,food_drink,2020
4/19/20,15,21,11,33,food_drink,2020
4/20/20,8,22,7,27,food_drink,2020
4/21/20,10,21,9,27,food_drink,2020
4/22/20,7,23,8,16,food_drink,2020
4/23/20,16,22,3,22,food_drink,2020
4/24/20,18,28,7,31,food_drink,2020
4/25/20,16,36,6,28,food_drink,2020
4/26/20,16,33,3,29,food_drink,2020
4/27/20,13,20,12,11,food_drink,2020
4/28/20,16,19,7,20,food_drink,2020
4/29/20,12,21,6,28,food_drink,2020
4/30/20,13,26,11,27,food_drink,2020
5/1/20,14,35,8,21,food_drink,2020
5/2/20,23,46,13,23,food_drink,2020
5/3/20,13,41,5,26,food_drink,2020
5/4/20,13,22,2,18,food_drink,2020
5/5/20,5,27,7,25,food_drink,2020
5/6/20,13,17,8,10,food_drink,2020
5/7/20,4,26,5,25,food_drink,2020
5/8/20,18,47,6,20,food_drink,2020
5/9/20,19,58,8,42,food_drink,2020
