Category: Food & Drink

Week,bbq restaurant: (United States),seafood restaurant: (United States),seafood delivery: (United States),seafood recipe: (United States)
2015-05-17,17,47,1,11
2015-05-24,20,45,1,11
2015-05-31,14,44,1,12
2015-06-07,17,52,1,11
2015-06-14,14,52,1,10
2015-06-21,21,62,1,13
2015-06-28,20,58,2,15
2015-07-05,16,53,1,11
2015-07-12,19,57,1,14
2015-07-19,21,59,2,10
2015-07-26,19,57,1,16
2015-08-02,18,61,1,15
2015-08-09,15,59,1,14
2015-08-16,15,51,2,12
2015-08-23,14,43,1,15
2015-08-30,16,46,1,13
2015-09-06,16,45,1,11
2015-09-13,15,38,1,14
2015-09-20,13,34,1,10
2015-09-27,13,32,1,12
2015-10-04,13,37,1,12
2015-10-11,11,38,1,12
2015-10-18,13,31,1,13
2015-10-25,9,32,1,11
2015-11-01,13,31,1,13
2015-11-08,16,33,1,12
2015-11-15,12,31,1,14
2015-11-22,14,35,1,19
2015-11-29,10,32,1,13
2015-12-06,10,37,<1,15
2015-12-13,10,32,2,19
2015-12-20,17,46,1,36
2015-12-27,20,56,1,29
2016-01-03,18,43,1,14
2016-01-10,16,44,1,13
2016-01-17,16,38,<1,16
2016-01-24,21,45,2,13
2016-01-31,15,48,2,13
2016-02-07,15,57,1,16
2016-02-14,20,62,1,19
2016-02-21,20,53,2,11
2016-02-28,14,51,1,14
2016-03-06,18,59,2,12
2016-03-13,21,60,1,13
2016-03-20,19,63,1,15
2016-03-27,18,57,1,10
2016-04-03,21,59,1,10
2016-04-10,24,64,1,10
2016-04-17,19,56,1,11
2016-04-24,18,58,1,11
2016-05-01,18,59,2,14
2016-05-08,21,72,1,17
2016-05-15,19,57,1,14
2016-05-22,26,68,1,12
2016-05-29,24,72,2,12
2016-06-05,22,63,3,13
2016-06-12,25,66,2,12
2016-06-19,23,77,2,13
2016-06-26,24,72,2,15
2016-07-03,26,74,1,13
2016-07-10,22,78,1,14
2016-07-17,22,84,1,13
2016-07-24,21,75,1,15
2016-07-31,21,71,2,14
2016-08-07,19,66,2,12
2016-08-14,21,61,2,14
2016-08-21,19,58,<1,12
2016-08-28,21,55,1,11
2016-09-04,23,61,1,12
2016-09-11,16,49,1,14
2016-09-18,17,50,2,10
2016-09-25,16,53,1,12
2016-10-02,17,46,1,11
2016-10-09,16,50,1,10
2016-10-16,17,48,1,11
2016-10-23,19,44,1,10
2016-10-30,15,40,2,12
2016-11-06,14,42,1,12
2016-11-13,15,43,1,13
2016-11-20,16,41,1,17
2016-11-27,14,39,1,10
2016-12-04,15,40,2,12
2016-12-11,16,41,1,14
2016-12-18,18,47,2,31
2016-12-25,24,56,1,24
2017-01-01,13,47,2,18
2017-01-08,17,43,1,16
2017-01-15,20,47,1,15
2017-01-22,18,49,1,13
2017-01-29,18,59,1,15
2017-02-05,17,48,2,16
2017-02-12,25,74,2,18
2017-02-19,22,64,1,12
2017-02-26,20,64,2,15
2017-03-05,20,66,2,15
2017-03-12,20,57,2,14
2017-03-19,20,58,2,11
2017-03-26,20,56,1,14
2017-04-02,22,57,2,13
2017-04-09,22,68,1,14
2017-04-16,19,54,2,12
2017-04-23,21,58,1,13
2017-04-30,21,58,2,14
2017-05-07,22,63,3,13
2017-05-14,26,71,2,12
2017-05-21,23,72,2,13
2017-05-28,28,76,2,16
2017-06-04,24,73,1,10
2017-06-11,26,80,2,14
2017-06-18,26,87,2,12
2017-06-25,27,74,3,15
2017-07-02,32,98,2,18
2017-07-09,28,80,2,16
2017-07-16,24,86,2,13
2017-07-23,25,85,3,12
2017-07-30,22,84,2,14
2017-08-06,21,79,2,11
2017-08-13,22,81,1,14
2017-08-20,23,70,2,13
2017-08-27,20,61,2,14
2017-09-03,23,56,2,13
2017-09-10,18,52,2,12
2017-09-17,17,54,1,9
2017-09-24,20,55,2,12
2017-10-01,17,55,2,15
2017-10-08,21,59,3,12
2017-10-15,21,52,1,13
2017-10-22,17,52,2,11
2017-10-29,18,43,2,12
2017-11-05,20,48,2,15
2017-11-12,21,42,1,14
2017-11-19,19,52,2,19
2017-11-26,13,39,1,12
2017-12-03,17,46,1,14
2017-12-10,19,47,2,17
2017-12-17,18,54,2,36
2017-12-24,25,76,2,40
2017-12-31,21,62,2,34
2018-01-07,20,52,3,21
2018-01-14,19,53,1,19
2018-01-21,20,53,2,17
2018-01-28,21,50,1,19
2018-02-04,20,52,2,20
2018-02-11,21,76,2,21
2018-02-18,23,71,2,21
2018-02-25,19,62,2,17
2018-03-04,21,63,2,19
2018-03-11,19,61,2,15
2018-03-18,21,56,2,12
2018-03-25,23,62,1,13
2018-04-01,19,58,2,14
2018-04-08,20,57,2,13
2018-04-15,23,52,2,14
2018-04-22,18,54,2,13
2018-04-29,19,59,2,9
2018-05-06,25,77,2,12
2018-05-13,20,82,3,15
2018-05-20,22,81,2,12
2018-05-27,26,87,3,18
2018-06-03,22,78,3,13
