Entity,ISO3,Date, (cases per million),Days since the total confirmed cases per million people reached 1 (days)
Afghanistan,AFG,12/31/19,0,
Afghanistan,AFG,1/1/20,0,
Afghanistan,AFG,1/2/20,0,
Afghanistan,AFG,1/3/20,0,
Afghanistan,AFG,1/4/20,0,
Afghanistan,AFG,1/5/20,0,
Afghanistan,AFG,1/6/20,0,
Afghanistan,AFG,1/7/20,0,
Afghanistan,AFG,1/8/20,0,
Afghanistan,AFG,1/9/20,0,
Afghanistan,AFG,1/10/20,0,
Afghanistan,AFG,1/11/20,0,
Afghanistan,AFG,1/12/20,0,
Afghanistan,AFG,1/13/20,0,
Afghanistan,AFG,1/14/20,0,
Afghanistan,AFG,1/15/20,0,
Afghanistan,AFG,1/16/20,0,
Afghanistan,AFG,1/17/20,0,
Afghanistan,AFG,1/18/20,0,
Afghanistan,AFG,1/19/20,0,
Afghanistan,AFG,1/20/20,0,
Afghanistan,AFG,1/21/20,0,
Afghanistan,AFG,1/22/20,0,
Afghanistan,AFG,1/23/20,0,
Afghanistan,AFG,1/24/20,0,
Afghanistan,AFG,1/25/20,0,
Afghanistan,AFG,1/26/20,0,
Afghanistan,AFG,1/27/20,0,
Afghanistan,AFG,1/28/20,0,
Afghanistan,AFG,1/29/20,0,
Afghanistan,AFG,1/30/20,0,
Afghanistan,AFG,1/31/20,0,
Afghanistan,AFG,2/1/20,0,
Afghanistan,AFG,2/2/20,0,
Afghanistan,AFG,2/3/20,0,
Afghanistan,AFG,2/4/20,0,
Afghanistan,AFG,2/5/20,0,
Afghanistan,AFG,2/6/20,0,
Afghanistan,AFG,2/7/20,0,
Afghanistan,AFG,2/8/20,0,
Afghanistan,AFG,2/9/20,0,
Afghanistan,AFG,2/10/20,0,
Afghanistan,AFG,2/11/20,0,
Afghanistan,AFG,2/12/20,0,
Afghanistan,AFG,2/13/20,0,
Afghanistan,AFG,2/14/20,0,
Afghanistan,AFG,2/15/20,0,
Afghanistan,AFG,2/16/20,0,
Afghanistan,AFG,2/17/20,0,
Afghanistan,AFG,2/18/20,0,
Afghanistan,AFG,2/19/20,0,
Afghanistan,AFG,2/20/20,0,
Afghanistan,AFG,2/21/20,0,
Afghanistan,AFG,2/22/20,0,
Afghanistan,AFG,2/23/20,0,
Afghanistan,AFG,2/24/20,0,
Afghanistan,AFG,2/25/20,0.025688225,
Afghanistan,AFG,2/26/20,0.025688225,
Afghanistan,AFG,2/27/20,0.025688225,
Afghanistan,AFG,2/28/20,0.025688225,
Afghanistan,AFG,2/29/20,0.025688225,
Afghanistan,AFG,3/1/20,0.025688225,
Afghanistan,AFG,3/2/20,0.025688225,
Afghanistan,AFG,3/8/20,0.102752902,
Afghanistan,AFG,3/11/20,0.179817578,
Afghanistan,AFG,3/15/20,0.256882254,
Afghanistan,AFG,3/16/20,0.411011607,
Afghanistan,AFG,3/17/20,0.539452734,
Afghanistan,AFG,3/18/20,0.56514096,
Afghanistan,AFG,3/19/20,0.56514096,
Afghanistan,AFG,3/20/20,0.56514096,
Afghanistan,AFG,3/21/20,0.616517411,
Afghanistan,AFG,3/22/20,0.616517411,
Afghanistan,AFG,3/23/20,0.873399665,
Afghanistan,AFG,3/24/20,1.027529018,0
Afghanistan,AFG,3/25/20,1.078905469,1
Afghanistan,AFG,3/26/20,1.926616909,2
Afghanistan,AFG,3/27/20,1.926616909,3
Afghanistan,AFG,3/28/20,2.337628516,4
Afghanistan,AFG,3/29/20,2.722951898,5
Afghanistan,AFG,3/30/20,2.928457701,6
Afghanistan,AFG,3/31/20,3.622039788,7
Afghanistan,AFG,4/1/20,4.264245425,8
Afghanistan,AFG,4/2/20,4.932139286,9
Afghanistan,AFG,4/3/20,6.036732981,10
Afghanistan,AFG,4/4/20,6.036732981,11
Afghanistan,AFG,4/5/20,6.935820871,12
Afghanistan,AFG,4/6/20,7.68077941,13
Afghanistan,AFG,4/7/20,8.656931977,14
Afghanistan,AFG,4/8/20,9.42757874,15
Afghanistan,AFG,4/9/20,10.86611937,16
Afghanistan,AFG,4/10/20,12.43310112,17
Afghanistan,AFG,4/11/20,13.38356546,18
Afghanistan,AFG,4/12/20,14.25696512,19
Afghanistan,AFG,4/13/20,15.59275285,20
Afghanistan,AFG,4/14/20,17.08266992,21
Afghanistan,AFG,4/15/20,18.34139297,22
Afghanistan,AFG,4/16/20,20.13956875,23
Afghanistan,AFG,4/17/20,20.39645101,24
Afghanistan,AFG,4/18/20,21.70655051,25
Afghanistan,AFG,4/19/20,23.32490871,26
Africa,,12/31/19,0,
Africa,,1/1/20,0,
Africa,,1/2/20,0,
Africa,,1/3/20,0,
Africa,,1/4/20,0,
Africa,,1/5/20,0,
Africa,,1/6/20,0,
Africa,,1/7/20,0,
Africa,,1/8/20,0,
Africa,,1/9/20,0,
Africa,,1/10/20,0,
Africa,,1/11/20,0,
Africa,,1/12/20,0,
Africa,,1/13/20,0,
Africa,,1/14/20,0,
Africa,,1/15/20,0,
Africa,,1/16/20,0,
Africa,,1/17/20,0,
Africa,,1/18/20,0,
Africa,,1/19/20,0,
Africa,,1/20/20,0,
Africa,,1/21/20,0,
Africa,,1/22/20,0,
Africa,,1/23/20,0,
Africa,,1/24/20,0,
Africa,,1/25/20,0,
Africa,,1/26/20,0,
Africa,,1/27/20,0,
Africa,,1/28/20,0,
Africa,,1/29/20,0,
Africa,,1/30/20,0,
Africa,,1/31/20,0,
Africa,,2/1/20,0,
Africa,,2/2/20,0,
Africa,,2/3/20,0,
Africa,,2/4/20,0,
Africa,,2/5/20,0,
Africa,,2/6/20,0,
Africa,,2/7/20,0,
Africa,,2/8/20,0,
Africa,,2/9/20,0,
Africa,,2/10/20,0,
Africa,,2/11/20,0,
Africa,,2/12/20,0,
Africa,,2/13/20,0,
Africa,,2/14/20,0,
Africa,,2/15/20,0.000745936,
Africa,,2/16/20,0.000745936,
Africa,,2/17/20,0.000745936,
Africa,,2/18/20,0.000745936,
Africa,,2/19/20,0.000745936,
Africa,,2/20/20,0.000745936,
Africa,,2/21/20,0.000745936,
Africa,,2/22/20,0.000745936,
Africa,,2/23/20,0.000745936,
Africa,,2/24/20,0.000745936,
Africa,,2/25/20,0.000745936,
Africa,,2/26/20,0.001491871,
Africa,,2/27/20,0.001491871,
Africa,,2/28/20,0.002237807,
Africa,,2/29/20,0.002237807,
Africa,,3/1/20,0.003729679,
Africa,,3/2/20,0.004475614,
Africa,,3/3/20,0.006713421,
Africa,,3/4/20,0.008205293,
Africa,,3/5/20,0.014918714,
Africa,,3/6/20,0.021632135,
Africa,,3/7/20,0.032075235,
Africa,,3/8/20,0.032821171,
Africa,,3/9/20,0.061912664,
Africa,,3/10/20,0.070863892,
Africa,,3/11/20,0.078323249,
Africa,,3/12/20,0.088020413,
Africa,,3/13/20,0.118603777,
Africa,,3/14/20,0.150679013,
Africa,,3/15/20,0.178278634,
Africa,,3/16/20,0.241683169,
Africa,,3/17/20,0.299866154,
Africa,,3/18/20,0.368492239,
Africa,,3/19/20,0.472177302,
Africa,,3/20/20,0.554976165,
Africa,,3/21/20,0.727287313,
Africa,,3/22/20,0.87722039,
Africa,,3/23/20,1.036104696,0
Africa,,3/24/20,1.296436257,1
Africa,,3/25/20,1.643296361,2
Africa,,3/26/20,2.006567049,3
Africa,,3/27/20,2.445177245,4
Africa,,3/28/20,2.837539426,5
Africa,,3/29/20,3.076238852,6
Africa,,3/30/20,3.452936383,7
Africa,,3/31/20,3.831871722,8
Africa,,4/1/20,4.196634282,9
Africa,,4/2/20,4.660606292,10
Africa,,4/3/20,5.134275465,11
Africa,,4/4/20,5.600485281,12
Africa,,4/5/20,6.295697359,13
Africa,,4/6/20,6.843960103,14
Africa,,4/7/20,7.311661791,15
Africa,,4/8/20,7.850227371,16
Africa,,4/9/20,8.537980092,17
Africa,,4/10/20,9.160090471,18
Africa,,4/11/20,9.661359265,19
Africa,,4/12/20,10.19395736,20
Africa,,4/13/20,10.83247832,21
Africa,,4/14/20,11.40610288,22
Africa,,4/15/20,12.14457923,23
Africa,,4/16/20,12.86216938,24
Africa,,4/17/20,13.67225556,25
Africa,,4/18/20,14.84188274,26
Africa,,4/19/20,15.70716816,27
Albania,ALB,3/9/20,0.694975328,
Albania,ALB,3/10/20,2.084925985,0
Albania,ALB,3/11/20,3.474876642,1
Albania,ALB,3/12/20,3.822364306,2
Albania,ALB,3/13/20,7.992216276,3
Albania,ALB,3/14/20,11.46709292,4
Albania,ALB,3/15/20,13.20453124,5
Albania,ALB,3/16/20,14.5944819,6
Albania,ALB,3/17/20,17.72187087,7
Albania,ALB,3/18/20,19.11182153,8
Albania,ALB,3/19/20,20.50177219,9
Albania,ALB,3/20/20,24.32413649,10
Albania,ALB,3/21/20,24.32413649,11
Albania,ALB,3/22/20,26.40906248,12
Albania,ALB,3/23/20,30.92640211,13
Albania,ALB,3/24/20,34.74876642,14
Albania,ALB,3/25/20,42.7409827,15
Albania,ALB,3/26/20,50.73319897,16
Albania,ALB,3/27/20,60.46285357,17
Albania,ALB,3/28/20,64.63270554,18
Albania,ALB,3/29/20,68.45506985,19
Albania,ALB,3/30/20,73.66738481,20
Albania,ALB,3/31/20,77.48974911,21
Albania,ALB,4/1/20,84.4395024,22
Albania,ALB,4/2/20,89.99930502,23
Albania,ALB,4/3/20,96.25408298,24
Albania,ALB,4/4/20,105.6362499,25
Albania,ALB,4/5/20,115.7133922,26
Albania,ALB,4/6/20,125.4430468,27
Albania,ALB,4/7/20,131.0028494,28
Albania,ALB,4/8/20,133.0877754,29
Albania,ALB,4/9/20,138.9950657,30
Albania,ALB,4/10/20,142.1224547,31
Albania,ALB,4/11/20,144.5548683,32
Albania,ALB,4/12/20,150.4621586,33
Albania,ALB,4/13/20,154.9794982,34
Albania,ALB,4/14/20,162.2767392,35
Albania,ALB,4/15/20,165.0566405,36
Albania,ALB,4/16/20,171.6589061,37
Albania,ALB,4/17/20,179.99861,38
Albania,ALB,4/18/20,187.295851,39
Albania,ALB,4/19/20,190.42324,40
Algeria,DZA,12/31/19,0,
Algeria,DZA,1/1/20,0,
Algeria,DZA,1/2/20,0,
Algeria,DZA,1/3/20,0,
Algeria,DZA,1/4/20,0,
Algeria,DZA,1/5/20,0,
Algeria,DZA,1/6/20,0,
Algeria,DZA,1/7/20,0,
Algeria,DZA,1/8/20,0,
Algeria,DZA,1/9/20,0,
Algeria,DZA,1/10/20,0,
Algeria,DZA,1/11/20,0,
Algeria,DZA,1/12/20,0,
Algeria,DZA,1/13/20,0,
Algeria,DZA,1/14/20,0,
Algeria,DZA,1/15/20,0,
Algeria,DZA,1/16/20,0,
Algeria,DZA,1/17/20,0,
Algeria,DZA,1/18/20,0,
Algeria,DZA,1/19/20,0,
Algeria,DZA,1/20/20,0,
Algeria,DZA,1/21/20,0,
Algeria,DZA,1/22/20,0,
Algeria,DZA,1/23/20,0,
Algeria,DZA,1/24/20,0,
Algeria,DZA,1/25/20,0,
Algeria,DZA,1/26/20,0,
Algeria,DZA,1/27/20,0,
Algeria,DZA,1/28/20,0,
Algeria,DZA,1/29/20,0,
Algeria,DZA,1/30/20,0,
Algeria,DZA,1/31/20,0,
Algeria,DZA,2/1/20,0,
Algeria,DZA,2/2/20,0,
Algeria,DZA,2/3/20,0,
Algeria,DZA,2/4/20,0,
Algeria,DZA,2/5/20,0,
Algeria,DZA,2/6/20,0,
Algeria,DZA,2/7/20,0,
Algeria,DZA,2/8/20,0,
Algeria,DZA,2/9/20,0,
Algeria,DZA,2/10/20,0,
Algeria,DZA,2/11/20,0,
Algeria,DZA,2/12/20,0,
Algeria,DZA,2/13/20,0,
Algeria,DZA,2/14/20,0,
Algeria,DZA,2/15/20,0,
Algeria,DZA,2/16/20,0,
Algeria,DZA,2/17/20,0,
Algeria,DZA,2/18/20,0,
Algeria,DZA,2/19/20,0,
Algeria,DZA,2/20/20,0,
Algeria,DZA,2/21/20,0,
Algeria,DZA,2/22/20,0,
Algeria,DZA,2/23/20,0,
Algeria,DZA,2/24/20,0,
Algeria,DZA,2/25/20,0,
Algeria,DZA,2/26/20,0.022804475,
Algeria,DZA,2/27/20,0.022804475,
Algeria,DZA,2/28/20,0.022804475,
Algeria,DZA,2/29/20,0.022804475,
Algeria,DZA,3/1/20,0.068413424,
Algeria,DZA,3/2/20,0.068413424,
Algeria,DZA,3/4/20,0.114022373,
Algeria,DZA,3/5/20,0.273653696,
Algeria,DZA,3/6/20,0.38767607,
Algeria,DZA,3/9/20,0.456089494,
Algeria,DZA,3/12/20,0.456089494,
Algeria,DZA,3/13/20,0.570111867,
Algeria,DZA,3/14/20,0.592916342,
Algeria,DZA,3/15/20,0.843765563,
Algeria,DZA,3/16/20,1.094614785,0
Algeria,DZA,3/17/20,1.322659532,1
Algeria,DZA,3/18/20,1.368268481,2
Algeria,DZA,3/19/20,1.641922177,3
Algeria,DZA,3/20/20,2.052402722,4
Algeria,DZA,3/21/20,2.326056418,5
Algeria,DZA,3/22/20,3.169821981,6
Algeria,DZA,3/23/20,4.583699412,7
Algeria,DZA,3/24/20,5.245029178,8
Algeria,DZA,3/25/20,6.020381317,9
Algeria,DZA,3/26/20,6.886951355,10
Algeria,DZA,3/27/20,8.369242209,11
Algeria,DZA,3/28/20,9.327030146,12
Algeria,DZA,3/29/20,10.35323151,13
Algeria,DZA,3/30/20,11.65308656,14
Algeria,DZA,3/31/20,13.31781322,15
Algeria,DZA,4/1/20,16.32800387,16
Algeria,DZA,4/2/20,19.31539006,17
Algeria,DZA,4/3/20,22.48521204,18
Algeria,DZA,4/4/20,26.70403986,19
Algeria,DZA,4/5/20,28.52839783,20
Algeria,DZA,4/6/20,30.10190658,21
Algeria,DZA,4/7/20,32.45076748,22
Algeria,DZA,4/8/20,33.47696884,23
Algeria,DZA,4/9/20,35.8486342,24
Algeria,DZA,4/10/20,37.99225483,25
Algeria,DZA,4/11/20,40.15867992,26
Algeria,DZA,4/12/20,41.6181663,27
Algeria,DZA,4/13/20,43.64776455,28
Algeria,DZA,4/14/20,45.2212733,29
Algeria,DZA,4/15/20,47.2052626,30
Algeria,DZA,4/16/20,49.25766532,31
Algeria,DZA,4/17/20,51.72054859,32
Algeria,DZA,4/18/20,55.14121979,33
Algeria,DZA,4/19/20,57.80934333,34
Andorra,AND,3/3/20,12.94247072,0
Andorra,AND,3/4/20,,1
Andorra,AND,3/5/20,,2
Andorra,AND,3/6/20,,3
Andorra,AND,3/7/20,,4
Andorra,AND,3/8/20,,5
Andorra,AND,3/9/20,,6
Andorra,AND,3/10/20,,7
Andorra,AND,3/11/20,,8
Andorra,AND,3/12/20,,9
Andorra,AND,3/13/20,,10
Andorra,AND,3/14/20,25.88494144,11
Andorra,AND,3/15/20,,12
Andorra,AND,3/16/20,64.71235359,13
Andorra,AND,3/17/20,181.19459,14
Andorra,AND,3/18/20,181.19459,15
Andorra,AND,3/19/20,685.950948,16
Andorra,AND,3/20/20,970.6853038,17
Andorra,AND,3/21/20,970.6853038,18
Andorra,AND,3/22/20,1138.937423,19
Andorra,AND,3/23/20,1462.499191,20
Andorra,AND,3/24/20,1721.348605,21
Andorra,AND,3/25/20,2122.565198,22
Andorra,AND,3/26/20,2433.184495,23
Andorra,AND,3/27/20,2899.113441,24
Andorra,AND,3/28/20,3455.639682,25
Andorra,AND,3/29/20,3986.280981,26
Andorra,AND,3/30/20,4322.78522,27
Andorra,AND,3/31/20,4788.714166,28
Andorra,AND,4/1/20,4866.36899,29
Andorra,AND,4/2/20,5047.56358,30
Andorra,AND,4/3/20,5539.377467,31
Andorra,AND,4/4/20,5681.744645,32
Andorra,AND,4/5/20,6031.191354,33
Andorra,AND,4/6/20,6484.17783,34
Andorra,AND,4/7/20,6807.739597,35
Andorra,AND,4/8/20,7053.646541,36
Andorra,AND,4/9/20,7299.553485,37
Andorra,AND,4/10/20,7545.460428,38
Andorra,AND,4/11/20,7778.424901,39
Andorra,AND,4/12/20,8050.216786,40
Andorra,AND,4/13/20,8257.296318,41
Andorra,AND,4/14/20,8360.836084,42
Andorra,AND,4/15/20,8529.088203,43
Andorra,AND,4/16/20,8710.282793,44
Andorra,AND,4/17/20,8826.765029,45
Andorra,AND,4/18/20,9007.959619,46
Andorra,AND,4/19/20,9111.499385,47
Angola,AGO,3/22/20,0.060852665,
Angola,AGO,3/23/20,0.060852665,
Angola,AGO,3/24/20,0.060852665,
Angola,AGO,3/25/20,0.060852665,
Angola,AGO,3/26/20,0.060852665,
Angola,AGO,3/27/20,0.091278998,
Angola,AGO,3/28/20,0.12170533,
Angola,AGO,3/29/20,0.12170533,
Angola,AGO,3/30/20,0.212984328,
Angola,AGO,3/31/20,0.212984328,
Angola,AGO,4/1/20,0.212984328,
Angola,AGO,4/2/20,0.24341066,
Angola,AGO,4/3/20,0.24341066,
Angola,AGO,4/4/20,0.24341066,
Angola,AGO,4/5/20,0.304263326,
Angola,AGO,4/6/20,0.425968656,
Angola,AGO,4/7/20,0.486821321,
Angola,AGO,4/8/20,0.517247653,
Angola,AGO,4/9/20,0.578100319,
Angola,AGO,4/10/20,0.578100319,
Angola,AGO,4/11/20,0.578100319,
Angola,AGO,4/12/20,0.578100319,
Angola,AGO,4/13/20,0.578100319,
Angola,AGO,4/14/20,0.578100319,
Angola,AGO,4/15/20,0.578100319,
Angola,AGO,4/16/20,0.578100319,
Angola,AGO,4/17/20,0.578100319,
Angola,AGO,4/18/20,0.578100319,
Angola,AGO,4/19/20,0.730231981,
Anguilla,AIA,3/27/20,133.3155579,0
Anguilla,AIA,3/28/20,133.3155579,1
Anguilla,AIA,3/29/20,133.3155579,2
Anguilla,AIA,3/30/20,133.3155579,3
Anguilla,AIA,3/31/20,133.3155579,4
Anguilla,AIA,4/1/20,133.3155579,5
Anguilla,AIA,4/2/20,133.3155579,6
Anguilla,AIA,4/3/20,199.9733369,7
Anguilla,AIA,4/4/20,199.9733369,8
Anguilla,AIA,4/5/20,199.9733369,9
Anguilla,AIA,4/6/20,199.9733369,10
Anguilla,AIA,4/7/20,199.9733369,11
Anguilla,AIA,4/8/20,199.9733369,12
Anguilla,AIA,4/9/20,199.9733369,13
Anguilla,AIA,4/10/20,199.9733369,14
Anguilla,AIA,4/11/20,199.9733369,15
Anguilla,AIA,4/12/20,199.9733369,16
Anguilla,AIA,4/13/20,199.9733369,17
Anguilla,AIA,4/14/20,199.9733369,18
Anguilla,AIA,4/15/20,199.9733369,19
Anguilla,AIA,4/16/20,199.9733369,20
Anguilla,AIA,4/17/20,199.9733369,21
Anguilla,AIA,4/18/20,199.9733369,22
Anguilla,AIA,4/19/20,199.9733369,23
Antigua and Barbuda,ATG,3/15/20,10.21158402,0
Antigua and Barbuda,ATG,3/16/20,,1
Antigua and Barbuda,ATG,3/17/20,,2
Antigua and Barbuda,ATG,3/18/20,,3
Antigua and Barbuda,ATG,3/19/20,,4
Antigua and Barbuda,ATG,3/20/20,,5
Antigua and Barbuda,ATG,3/21/20,10.21158402,6
Antigua and Barbuda,ATG,3/22/20,10.21158402,7
Antigua and Barbuda,ATG,3/23/20,10.21158402,8
Antigua and Barbuda,ATG,3/24/20,10.21158402,9
Antigua and Barbuda,ATG,3/25/20,30.63475206,10
Antigua and Barbuda,ATG,3/26/20,30.63475206,11
Antigua and Barbuda,ATG,3/27/20,71.48108815,12
Antigua and Barbuda,ATG,3/28/20,71.48108815,13
Antigua and Barbuda,ATG,3/29/20,71.48108815,14
Antigua and Barbuda,ATG,3/30/20,71.48108815,15
Antigua and Barbuda,ATG,3/31/20,71.48108815,16
Antigua and Barbuda,ATG,4/1/20,71.48108815,17
Antigua and Barbuda,ATG,4/2/20,71.48108815,18
Antigua and Barbuda,ATG,4/3/20,91.90425619,19
Antigua and Barbuda,ATG,4/4/20,153.1737603,20
Antigua and Barbuda,ATG,4/5/20,153.1737603,21
Antigua and Barbuda,ATG,4/6/20,153.1737603,22
Antigua and Barbuda,ATG,4/7/20,153.1737603,23
Antigua and Barbuda,ATG,4/8/20,153.1737603,24
Antigua and Barbuda,ATG,4/9/20,153.1737603,25
Antigua and Barbuda,ATG,4/10/20,194.0200964,26
Antigua and Barbuda,ATG,4/11/20,214.4432644,27
Antigua and Barbuda,ATG,4/12/20,214.4432644,28
Antigua and Barbuda,ATG,4/13/20,214.4432644,29
Antigua and Barbuda,ATG,4/14/20,234.8664325,30
Antigua and Barbuda,ATG,4/15/20,234.8664325,31
Antigua and Barbuda,ATG,4/16/20,234.8664325,32
Antigua and Barbuda,ATG,4/17/20,234.8664325,33
Antigua and Barbuda,ATG,4/18/20,234.8664325,34
Antigua and Barbuda,ATG,4/19/20,234.8664325,35
Argentina,ARG,3/4/20,0.022125961,
Argentina,ARG,3/6/20,0.044251922,
Argentina,ARG,3/7/20,0.177007688,
Argentina,ARG,3/8/20,0.199133649,
Argentina,ARG,3/9/20,0.265511532,
Argentina,ARG,3/11/20,0.420393259,
Argentina,ARG,3/13/20,0.685904792,
Argentina,ARG,3/14/20,0.752282675,
Argentina,ARG,3/15/20,0.995668246,
Argentina,ARG,3/16/20,1.239053817,0
Argentina,ARG,3/17/20,1.438187466,1
Argentina,ARG,3/18/20,1.74795092,2
Argentina,ARG,3/19/20,2.146218219,3
Argentina,ARG,3/20/20,2.83212301,4
Argentina,ARG,3/21/20,3.495901841,5
Argentina,ARG,3/22/20,4.978341229,6
Argentina,ARG,3/23/20,5.88550563,7
Argentina,ARG,3/24/20,6.659914266,8
Argentina,ARG,3/25/20,8.562746913,9
Argentina,ARG,3/26/20,11.10723243,10
Argentina,ARG,3/27/20,13.03219104,11
Argentina,ARG,3/28/20,15.2669131,12
Argentina,ARG,3/29/20,16.48384096,13
Argentina,ARG,3/30/20,18.14328803,14
Argentina,ARG,3/31/20,21.37367834,15
Argentina,ARG,4/1/20,21.37367834,16
Argentina,ARG,4/2/20,25.06871383,17
Argentina,ARG,4/3/20,25.06871383,18
Argentina,ARG,4/4/20,27.98934069,19
Argentina,ARG,4/5/20,32.10476943,20
Argentina,ARG,4/6/20,34.38374342,21
Argentina,ARG,4/7/20,36.02106453,22
Argentina,ARG,4/8/20,37.94602314,23
Argentina,ARG,4/9/20,39.71610002,24
Argentina,ARG,4/10/20,41.90657016,25
Argentina,ARG,4/11/20,43.69877301,26
Argentina,ARG,4/12/20,47.28317869,27
Argentina,ARG,4/13/20,48.74349212,28
Argentina,ARG,4/14/20,50.27018343,29
Argentina,ARG,4/15/20,53.81033719,30
Argentina,ARG,4/16/20,53.81033719,31
Argentina,ARG,4/17/20,56.6424602,32
Argentina,ARG,4/18/20,58.81080438,33
Argentina,ARG,4/19/20,62.57221775,34
Armenia,ARM,12/31/19,0,
Armenia,ARM,1/1/20,0,
Armenia,ARM,1/2/20,0,
Armenia,ARM,1/3/20,0,
Armenia,ARM,1/4/20,0,
Armenia,ARM,1/5/20,0,
Armenia,ARM,1/6/20,0,
Armenia,ARM,1/7/20,0,
Armenia,ARM,1/8/20,0,
Armenia,ARM,1/9/20,0,
