ISO3c,exp_to_CHN_kg,exp_to_CHN_value,exp.kg,exp.value,per_exp_kg,per_exp_val,imp_from_CHN_kg,imp_from_CHN_value,imp.kg,imp.value,per_imp_kg,per_imp_val
ABW,17639,1088756,310968,2272403,5.672287824,47.9121001,60081,212357,4834023,37620036,1.242877827,0.56447846
AGO,9634,776533,124322107,137636590,0.007749225,0.564190816,2898972,5845151,19834568,30467588,14.61575568,19.18481699
ALB,35258,578519,5943769,37878049,0.593192636,1.527319953,159322,879383,16988038,74718211,0.937848149,1.176932622
ARE,649581,10804588,88072565,308604781,0.73755204,3.501108429,12757699,50412074,292705281,856652202,4.3585476,5.884777262
ARG,102393150,465913644,868365044,3929311078,11.79148685,11.85738759,75187,300182,46871606,219363699,0.160410548,0.136842149
ASM,14440,86270,8747723,10924930,0.165071528,0.78966181,NA,NA,NA,NA,NA,NA
ATG,10191,128737,88403,782549,11.52788933,16.45098262,139779,405000,2750348,11616744,5.082229594,3.486346949
AUS,19192824,479324924,70840636,1308847323,27.09295834,36.6219127,52194180,237768496,287356809,1523459638,18.16354385,15.60714115
BEL,66656,457670,240362372,1334500411,0.027731462,0.034295231,20502566,93684328,417214689,2837559046,4.914152483,3.301581623
BEN,130,1189,396581,309461,0.032780189,0.384216428,8001876,14008916,139966996,130716110,5.71697345,10.71705393
BGD,14329889,79084397,67926455,593670868,21.09618263,13.32125278,173384,3532806,75136038,76527600,0.230760105,4.616381541
BGR,126256,970327,27308910,83135112,0.4623253,1.167168693,1436197,2710132,64287669,151768198,2.234016293,1.785704802
BHR,419,40525,10346468,36675354,0.004049691,0.110496548,133597,518453,14399393,29098982,0.927796054,1.781687758
BIH,8648,164104,4311537,15366415,0.200578123,1.067939399,431996,1407088,29702355,30117616,1.454416662,4.671976693
BLR,24045,30000,56627375,200579245,0.042461795,0.014956682,1870954,6570857,209479510,450884224,0.893144155,1.457326881
BLZ,70831,1236955,13681972,59816119,0.517695841,2.067929215,880,1216,196611,687484,0.447584316,0.176876844
BRA,2662416,81411139,124251727,449066650,2.142759754,18.12896571,67236437,226835264,525230153,1775687883,12.80132845,12.77450087
BRN,1122429,5641825,1711306,9450367,65.58902967,59.69953336,753444,3947269,12448666,49781830,6.052407543,7.929135992
BWA,103,13216,291095,489406,0.035383638,2.700416423,32067,52947,2242303,8381596,1.430092186,0.631705465
CAN,141096522,1064554856,698889457,5643593166,20.18867513,18.8630687,76970076,499756761,568335352,3179653149,13.54307377,15.71733575
CHE,7915,312699,2048796,26895062,0.386324456,1.162663243,1209712,8407604,99445313,960651644,1.216459543,0.875198003
CHL,127801762,455957168,1320357510,7323517915,9.679330108,6.225930943,43367219,105353378,173712122,362808282,24.96499294,29.03830569
CIV,2513899,2893207,11353756,26987077,22.14156267,10.72071273,91669675,136180014,762310312,699571536,12.02524399,19.46620281
CMR,83549,766586,4325164,4972788,1.931695538,15.41561796,29966641,51221874,256055753,285204492,11.70317036,17.959701
COD,14091,886979,31598,1145360,44.59459459,77.44106656,7088413,18314366,123056562,106679555,5.760288509,17.16764379
COG,6950351,9003353,17711151,16868589,39.24279681,53.37348014,5837541,10895395,54996289,91929265,10.61442709,11.85193311
COK,1116009,5682206,3604760,26021358,30.95931491,21.83670045,NA,NA,NA,NA,NA,NA
COL,232628,6763982,32199682,178187959,0.72245434,3.795981523,10734169,37523425,158491010,371841449,6.772730516,10.09124322
CPV,4990,362735,20745872,46972586,0.024052978,0.772227018,750494,3327522,14127905,35181407,5.312139344,9.458183409
CRI,129922,5292706,18308726,114372321,0.709617917,4.627610906,10597770,33404381,53706038,131070231,19.73292091,25.48586414
CUB,1926895,36642617,8095650,88514513,23.80160951,41.39729832,1088827,2440605,10494865,22706530,10.37485475,10.74847192
CZE,1233,106515,45926580,225527119,0.00268472,0.047229353,3659644,12875646,106025532,477536425,3.451662945,2.696264688
DEU,16057951,28946658,902730913,3202818680,1.778819222,0.903786973,131840369,434859000,1358504709,6784837608,9.704815017,6.409276465
DJI,70,240941,54987,1036119,0.127302817,23.25418219,NA,NA,NA,NA,NA,NA
DNK,96843825,317630272,1592042726,6414679965,6.082991582,4.95161526,13305314,111959520,1416400816,4514131597,0.939374918,2.480200623
DOM,93288,862621,2529873,23148915,3.687457829,3.726399272,9820174,38311409,71151742,294689300,13.80173377,13.00061081
DZA,27278,100421,3878618,22123349,0.703291739,0.453914098,6915136,23680334,44109621,125720183,15.67716032,18.83574573
ECU,81239622,199995277,765476180,4051984246,10.61295232,4.935736786,647750,1717601,180660127,261446621,0.358546189,0.656960489
EGY,2026285,9519014,45840259,139393518,4.42031752,6.828878514,36907297,72720139,608860180,913897699,6.061703198,7.957142148
ESP,12207582,73997407,1403409757,4753444522,0.869851584,1.556711279,101146437,419368903,2121312414,9808266875,4.76810659,4.275667744
EST,4265086,21397268,153800320,240761986,2.773132072,8.887311637,583887,3672403,66355285,206057376,0.87994046,1.78222351
ETH,2926,204369,43720,262122,6.692589204,77.96712981,50,301,190492,1157580,0.026247821,0.026002523
