Entity,ISO3,Date,Total confirmed cases of COVID-19 (cases)
Afghanistan,AFG,12/31/19,0
Afghanistan,AFG,1/1/20,0
Afghanistan,AFG,1/2/20,0
Afghanistan,AFG,1/3/20,0
Afghanistan,AFG,1/4/20,0
Afghanistan,AFG,1/5/20,0
Afghanistan,AFG,1/6/20,0
Afghanistan,AFG,1/7/20,0
Afghanistan,AFG,1/8/20,0
Afghanistan,AFG,1/9/20,0
Afghanistan,AFG,1/10/20,0
Afghanistan,AFG,1/11/20,0
Afghanistan,AFG,1/12/20,0
Afghanistan,AFG,1/13/20,0
Afghanistan,AFG,1/14/20,0
Afghanistan,AFG,1/15/20,0
Afghanistan,AFG,1/16/20,0
Afghanistan,AFG,1/17/20,0
Afghanistan,AFG,1/18/20,0
Afghanistan,AFG,1/19/20,0
Afghanistan,AFG,1/20/20,0
Afghanistan,AFG,1/21/20,0
Afghanistan,AFG,1/22/20,0
Afghanistan,AFG,1/23/20,0
Afghanistan,AFG,1/24/20,0
Afghanistan,AFG,1/25/20,0
Afghanistan,AFG,1/26/20,0
Afghanistan,AFG,1/27/20,0
Afghanistan,AFG,1/28/20,0
Afghanistan,AFG,1/29/20,0
Afghanistan,AFG,1/30/20,0
Afghanistan,AFG,1/31/20,0
Afghanistan,AFG,2/1/20,0
Afghanistan,AFG,2/2/20,0
Afghanistan,AFG,2/3/20,0
Afghanistan,AFG,2/4/20,0
Afghanistan,AFG,2/5/20,0
Afghanistan,AFG,2/6/20,0
Afghanistan,AFG,2/7/20,0
Afghanistan,AFG,2/8/20,0
Afghanistan,AFG,2/9/20,0
Afghanistan,AFG,2/10/20,0
Afghanistan,AFG,2/11/20,0
Afghanistan,AFG,2/12/20,0
Afghanistan,AFG,2/13/20,0
Afghanistan,AFG,2/14/20,0
Afghanistan,AFG,2/15/20,0
Afghanistan,AFG,2/16/20,0
Afghanistan,AFG,2/17/20,0
Afghanistan,AFG,2/18/20,0
Afghanistan,AFG,2/19/20,0
Afghanistan,AFG,2/20/20,0
Afghanistan,AFG,2/21/20,0
Afghanistan,AFG,2/22/20,0
Afghanistan,AFG,2/23/20,0
Afghanistan,AFG,2/24/20,0
Afghanistan,AFG,2/25/20,1
Afghanistan,AFG,2/26/20,1
Afghanistan,AFG,2/27/20,1
Afghanistan,AFG,2/28/20,1
Afghanistan,AFG,2/29/20,1
Afghanistan,AFG,3/1/20,1
Afghanistan,AFG,3/2/20,1
Afghanistan,AFG,3/8/20,4
Afghanistan,AFG,3/11/20,7
Afghanistan,AFG,3/15/20,10
Afghanistan,AFG,3/16/20,16
Afghanistan,AFG,3/17/20,21
Afghanistan,AFG,3/18/20,22
Afghanistan,AFG,3/19/20,22
Afghanistan,AFG,3/20/20,22
Afghanistan,AFG,3/21/20,24
Afghanistan,AFG,3/22/20,24
Afghanistan,AFG,3/23/20,34
Afghanistan,AFG,3/24/20,40
Afghanistan,AFG,3/25/20,42
Afghanistan,AFG,3/26/20,75
Afghanistan,AFG,3/27/20,75
Afghanistan,AFG,3/28/20,91
Afghanistan,AFG,3/29/20,106
Afghanistan,AFG,3/30/20,114
Afghanistan,AFG,3/31/20,141
Afghanistan,AFG,4/1/20,166
Afghanistan,AFG,4/2/20,192
Afghanistan,AFG,4/3/20,235
Afghanistan,AFG,4/4/20,235
Afghanistan,AFG,4/5/20,270
Afghanistan,AFG,4/6/20,299
Afghanistan,AFG,4/7/20,337
Afghanistan,AFG,4/8/20,367
Afghanistan,AFG,4/9/20,423
Afghanistan,AFG,4/10/20,484
Afghanistan,AFG,4/11/20,521
Afghanistan,AFG,4/12/20,555
Afghanistan,AFG,4/13/20,607
Afghanistan,AFG,4/14/20,665
Afghanistan,AFG,4/15/20,714
Afghanistan,AFG,4/16/20,784
Afghanistan,AFG,4/17/20,794
Afghanistan,AFG,4/18/20,845
Afghanistan,AFG,4/19/20,908
Africa,,12/31/19,0
Africa,,1/1/20,0
Africa,,1/2/20,0
Africa,,1/3/20,0
Africa,,1/4/20,0
Africa,,1/5/20,0
Africa,,1/6/20,0
Africa,,1/7/20,0
Africa,,1/8/20,0
Africa,,1/9/20,0
Africa,,1/10/20,0
Africa,,1/11/20,0
Africa,,1/12/20,0
Africa,,1/13/20,0
Africa,,1/14/20,0
Africa,,1/15/20,0
Africa,,1/16/20,0
Africa,,1/17/20,0
Africa,,1/18/20,0
Africa,,1/19/20,0
Africa,,1/20/20,0
Africa,,1/21/20,0
Africa,,1/22/20,0
Africa,,1/23/20,0
Africa,,1/24/20,0
Africa,,1/25/20,0
Africa,,1/26/20,0
Africa,,1/27/20,0
Africa,,1/28/20,0
Africa,,1/29/20,0
Africa,,1/30/20,0
Africa,,1/31/20,0
Africa,,2/1/20,0
Africa,,2/2/20,0
Africa,,2/3/20,0
Africa,,2/4/20,0
Africa,,2/5/20,0
Africa,,2/6/20,0
Africa,,2/7/20,0
Africa,,2/8/20,0
Africa,,2/9/20,0
Africa,,2/10/20,0
Africa,,2/11/20,0
Africa,,2/12/20,0
Africa,,2/13/20,0
Africa,,2/14/20,0
Africa,,2/15/20,1
Africa,,2/16/20,1
Africa,,2/17/20,1
Africa,,2/18/20,1
Africa,,2/19/20,1
Africa,,2/20/20,1
Africa,,2/21/20,1
Africa,,2/22/20,1
Africa,,2/23/20,1
Africa,,2/24/20,1
Africa,,2/25/20,1
Africa,,2/26/20,2
Africa,,2/27/20,2
Africa,,2/28/20,3
Africa,,2/29/20,3
Africa,,3/1/20,5
Africa,,3/2/20,6
Africa,,3/3/20,9
Africa,,3/4/20,11
Africa,,3/5/20,20
Africa,,3/6/20,29
Africa,,3/7/20,43
Africa,,3/8/20,44
Africa,,3/9/20,83
Africa,,3/10/20,95
Africa,,3/11/20,105
Africa,,3/12/20,118
Africa,,3/13/20,159
Africa,,3/14/20,202
Africa,,3/15/20,239
Africa,,3/16/20,324
Africa,,3/17/20,402
Africa,,3/18/20,494
Africa,,3/19/20,633
Africa,,3/20/20,744
Africa,,3/21/20,975
Africa,,3/22/20,1176
Africa,,3/23/20,1389
Africa,,3/24/20,1738
Africa,,3/25/20,2203
Africa,,3/26/20,2690
Africa,,3/27/20,3278
Africa,,3/28/20,3804
Africa,,3/29/20,4124
Africa,,3/30/20,4629
Africa,,3/31/20,5137
Africa,,4/1/20,5626
Africa,,4/2/20,6248
Africa,,4/3/20,6883
Africa,,4/4/20,7508
Africa,,4/5/20,8440
Africa,,4/6/20,9175
Africa,,4/7/20,9802
Africa,,4/8/20,10524
Africa,,4/9/20,11446
Africa,,4/10/20,12280
Africa,,4/11/20,12952
Africa,,4/12/20,13666
Africa,,4/13/20,14522
Africa,,4/14/20,15291
Africa,,4/15/20,16281
Africa,,4/16/20,17243
Africa,,4/17/20,18329
Africa,,4/18/20,19897
Africa,,4/19/20,21057
Albania,ALB,3/9/20,2
Albania,ALB,3/10/20,6
Albania,ALB,3/11/20,10
Albania,ALB,3/12/20,11
Albania,ALB,3/13/20,23
Albania,ALB,3/14/20,33
Albania,ALB,3/15/20,38
Albania,ALB,3/16/20,42
Albania,ALB,3/17/20,51
Albania,ALB,3/18/20,55
Albania,ALB,3/19/20,59
Albania,ALB,3/20/20,70
Albania,ALB,3/21/20,70
Albania,ALB,3/22/20,76
Albania,ALB,3/23/20,89
Albania,ALB,3/24/20,100
Albania,ALB,3/25/20,123
Albania,ALB,3/26/20,146
Albania,ALB,3/27/20,174
Albania,ALB,3/28/20,186
Albania,ALB,3/29/20,197
Albania,ALB,3/30/20,212
Albania,ALB,3/31/20,223
Albania,ALB,4/1/20,243
Albania,ALB,4/2/20,259
Albania,ALB,4/3/20,277
Albania,ALB,4/4/20,304
Albania,ALB,4/5/20,333
Albania,ALB,4/6/20,361
Albania,ALB,4/7/20,377
Albania,ALB,4/8/20,383
Albania,ALB,4/9/20,400
Albania,ALB,4/10/20,409
Albania,ALB,4/11/20,416
Albania,ALB,4/12/20,433
Albania,ALB,4/13/20,446
Albania,ALB,4/14/20,467
Albania,ALB,4/15/20,475
Albania,ALB,4/16/20,494
Albania,ALB,4/17/20,518
Albania,ALB,4/18/20,539
Albania,ALB,4/19/20,548
Algeria,DZA,12/31/19,0
Algeria,DZA,1/1/20,0
Algeria,DZA,1/2/20,0
Algeria,DZA,1/3/20,0
Algeria,DZA,1/4/20,0
Algeria,DZA,1/5/20,0
Algeria,DZA,1/6/20,0
Algeria,DZA,1/7/20,0
Algeria,DZA,1/8/20,0
Algeria,DZA,1/9/20,0
Algeria,DZA,1/10/20,0
Algeria,DZA,1/11/20,0
Algeria,DZA,1/12/20,0
Algeria,DZA,1/13/20,0
Algeria,DZA,1/14/20,0
Algeria,DZA,1/15/20,0
Algeria,DZA,1/16/20,0
Algeria,DZA,1/17/20,0
Algeria,DZA,1/18/20,0
Algeria,DZA,1/19/20,0
Algeria,DZA,1/20/20,0
Algeria,DZA,1/21/20,0
Algeria,DZA,1/22/20,0
Algeria,DZA,1/23/20,0
Algeria,DZA,1/24/20,0
Algeria,DZA,1/25/20,0
Algeria,DZA,1/26/20,0
Algeria,DZA,1/27/20,0
Algeria,DZA,1/28/20,0
Algeria,DZA,1/29/20,0
Algeria,DZA,1/30/20,0
Algeria,DZA,1/31/20,0
Algeria,DZA,2/1/20,0
Algeria,DZA,2/2/20,0
Algeria,DZA,2/3/20,0
Algeria,DZA,2/4/20,0
Algeria,DZA,2/5/20,0
Algeria,DZA,2/6/20,0
Algeria,DZA,2/7/20,0
Algeria,DZA,2/8/20,0
Algeria,DZA,2/9/20,0
Algeria,DZA,2/10/20,0
Algeria,DZA,2/11/20,0
Algeria,DZA,2/12/20,0
Algeria,DZA,2/13/20,0
Algeria,DZA,2/14/20,0
Algeria,DZA,2/15/20,0
Algeria,DZA,2/16/20,0
Algeria,DZA,2/17/20,0
Algeria,DZA,2/18/20,0
Algeria,DZA,2/19/20,0
Algeria,DZA,2/20/20,0
Algeria,DZA,2/21/20,0
Algeria,DZA,2/22/20,0
Algeria,DZA,2/23/20,0
Algeria,DZA,2/24/20,0
Algeria,DZA,2/25/20,0
Algeria,DZA,2/26/20,1
Algeria,DZA,2/27/20,1
Algeria,DZA,2/28/20,1
Algeria,DZA,2/29/20,1
Algeria,DZA,3/1/20,3
Algeria,DZA,3/2/20,3
Algeria,DZA,3/4/20,5
Algeria,DZA,3/5/20,12
Algeria,DZA,3/6/20,17
Algeria,DZA,3/9/20,20
Algeria,DZA,3/12/20,20
Algeria,DZA,3/13/20,25
Algeria,DZA,3/14/20,26
Algeria,DZA,3/15/20,37
Algeria,DZA,3/16/20,48
Algeria,DZA,3/17/20,58
Algeria,DZA,3/18/20,60
Algeria,DZA,3/19/20,72
Algeria,DZA,3/20/20,90
Algeria,DZA,3/21/20,102
Algeria,DZA,3/22/20,139
Algeria,DZA,3/23/20,201
Algeria,DZA,3/24/20,230
Algeria,DZA,3/25/20,264
Algeria,DZA,3/26/20,302
Algeria,DZA,3/27/20,367
Algeria,DZA,3/28/20,409
Algeria,DZA,3/29/20,454
Algeria,DZA,3/30/20,511
Algeria,DZA,3/31/20,584
Algeria,DZA,4/1/20,716
Algeria,DZA,4/2/20,847
Algeria,DZA,4/3/20,986
Algeria,DZA,4/4/20,1171
Algeria,DZA,4/5/20,1251
Algeria,DZA,4/6/20,1320
Algeria,DZA,4/7/20,1423
Algeria,DZA,4/8/20,1468
Algeria,DZA,4/9/20,1572
Algeria,DZA,4/10/20,1666
Algeria,DZA,4/11/20,1761
Algeria,DZA,4/12/20,1825
Algeria,DZA,4/13/20,1914
Algeria,DZA,4/14/20,1983
Algeria,DZA,4/15/20,2070
Algeria,DZA,4/16/20,2160
Algeria,DZA,4/17/20,2268
Algeria,DZA,4/18/20,2418
Algeria,DZA,4/19/20,2535
Andorra,AND,3/3/20,1
Andorra,AND,3/14/20,2
Andorra,AND,3/16/20,5
Andorra,AND,3/17/20,14
Andorra,AND,3/18/20,14
Andorra,AND,3/19/20,53
Andorra,AND,3/20/20,75
Andorra,AND,3/21/20,75
Andorra,AND,3/22/20,88
Andorra,AND,3/23/20,113
Andorra,AND,3/24/20,133
Andorra,AND,3/25/20,164
Andorra,AND,3/26/20,188
Andorra,AND,3/27/20,224
Andorra,AND,3/28/20,267
Andorra,AND,3/29/20,308
Andorra,AND,3/30/20,334
Andorra,AND,3/31/20,370
Andorra,AND,4/1/20,376
Andorra,AND,4/2/20,390
Andorra,AND,4/3/20,428
Andorra,AND,4/4/20,439
Andorra,AND,4/5/20,466
Andorra,AND,4/6/20,501
Andorra,AND,4/7/20,526
Andorra,AND,4/8/20,545
Andorra,AND,4/9/20,564
Andorra,AND,4/10/20,583
Andorra,AND,4/11/20,601
Andorra,AND,4/12/20,622
Andorra,AND,4/13/20,638
Andorra,AND,4/14/20,646
Andorra,AND,4/15/20,659
Andorra,AND,4/16/20,673
Andorra,AND,4/17/20,682
Andorra,AND,4/18/20,696
Andorra,AND,4/19/20,704
Angola,AGO,3/22/20,2
Angola,AGO,3/23/20,2
Angola,AGO,3/24/20,2
Angola,AGO,3/25/20,2
Angola,AGO,3/26/20,2
Angola,AGO,3/27/20,3
Angola,AGO,3/28/20,4
Angola,AGO,3/29/20,4
Angola,AGO,3/30/20,7
Angola,AGO,3/31/20,7
Angola,AGO,4/1/20,7
Angola,AGO,4/2/20,8
Angola,AGO,4/3/20,8
Angola,AGO,4/4/20,8
Angola,AGO,4/5/20,10
Angola,AGO,4/6/20,14
Angola,AGO,4/7/20,16
Angola,AGO,4/8/20,17
Angola,AGO,4/9/20,19
Angola,AGO,4/10/20,19
Angola,AGO,4/11/20,19
Angola,AGO,4/12/20,19
Angola,AGO,4/13/20,19
Angola,AGO,4/14/20,19
Angola,AGO,4/15/20,19
Angola,AGO,4/16/20,19
Angola,AGO,4/17/20,19
Angola,AGO,4/18/20,19
Angola,AGO,4/19/20,24
Anguilla,AIA,3/27/20,2
Anguilla,AIA,3/28/20,2
Anguilla,AIA,3/29/20,2
Anguilla,AIA,3/30/20,2
Anguilla,AIA,3/31/20,2
Anguilla,AIA,4/1/20,2
Anguilla,AIA,4/2/20,2
Anguilla,AIA,4/3/20,3
Anguilla,AIA,4/4/20,3
Anguilla,AIA,4/5/20,3
Anguilla,AIA,4/6/20,3
Anguilla,AIA,4/7/20,3
Anguilla,AIA,4/8/20,3
Anguilla,AIA,4/9/20,3
Anguilla,AIA,4/10/20,3
Anguilla,AIA,4/11/20,3
Anguilla,AIA,4/12/20,3
Anguilla,AIA,4/13/20,3
Anguilla,AIA,4/14/20,3
Anguilla,AIA,4/15/20,3
Anguilla,AIA,4/16/20,3
Anguilla,AIA,4/17/20,3
Anguilla,AIA,4/18/20,3
Anguilla,AIA,4/19/20,3
Antigua and Barbuda,ATG,3/15/20,1
Antigua and Barbuda,ATG,3/21/20,1
Antigua and Barbuda,ATG,3/22/20,1
Antigua and Barbuda,ATG,3/23/20,1
Antigua and Barbuda,ATG,3/24/20,1
Antigua and Barbuda,ATG,3/25/20,3
Antigua and Barbuda,ATG,3/26/20,3
Antigua and Barbuda,ATG,3/27/20,7
Antigua and Barbuda,ATG,3/28/20,7
Antigua and Barbuda,ATG,3/29/20,7
Antigua and Barbuda,ATG,3/30/20,7
Antigua and Barbuda,ATG,3/31/20,7
Antigua and Barbuda,ATG,4/1/20,7
Antigua and Barbuda,ATG,4/2/20,7
Antigua and Barbuda,ATG,4/3/20,9
Antigua and Barbuda,ATG,4/4/20,15
Antigua and Barbuda,ATG,4/5/20,15
Antigua and Barbuda,ATG,4/6/20,15
Antigua and Barbuda,ATG,4/7/20,15
Antigua and Barbuda,ATG,4/8/20,15
Antigua and Barbuda,ATG,4/9/20,15
Antigua and Barbuda,ATG,4/10/20,19
Antigua and Barbuda,ATG,4/11/20,21
Antigua and Barbuda,ATG,4/12/20,21
Antigua and Barbuda,ATG,4/13/20,21
Antigua and Barbuda,ATG,4/14/20,23
Antigua and Barbuda,ATG,4/15/20,23
Antigua and Barbuda,ATG,4/16/20,23
Antigua and Barbuda,ATG,4/17/20,23
Antigua and Barbuda,ATG,4/18/20,23
Antigua and Barbuda,ATG,4/19/20,23
Argentina,ARG,3/4/20,1
Argentina,ARG,3/6/20,2
Argentina,ARG,3/7/20,8
Argentina,ARG,3/8/20,9
Argentina,ARG,3/9/20,12
Argentina,ARG,3/11/20,19
Argentina,ARG,3/13/20,31
Argentina,ARG,3/14/20,34
Argentina,ARG,3/15/20,45
Argentina,ARG,3/16/20,56
Argentina,ARG,3/17/20,65
Argentina,ARG,3/18/20,79
Argentina,ARG,3/19/20,97
Argentina,ARG,3/20/20,128
Argentina,ARG,3/21/20,158
Argentina,ARG,3/22/20,225
Argentina,ARG,3/23/20,266
Argentina,ARG,3/24/20,301
Argentina,ARG,3/25/20,387
Argentina,ARG,3/26/20,502
Argentina,ARG,3/27/20,589
Argentina,ARG,3/28/20,690
Argentina,ARG,3/29/20,745
Argentina,ARG,3/30/20,820
Argentina,ARG,3/31/20,966
Argentina,ARG,4/1/20,966
Argentina,ARG,4/2/20,1133
Argentina,ARG,4/3/20,1133
Argentina,ARG,4/4/20,1265
Argentina,ARG,4/5/20,1451
Argentina,ARG,4/6/20,1554
Argentina,ARG,4/7/20,1628
Argentina,ARG,4/8/20,1715
Argentina,ARG,4/9/20,1795
Argentina,ARG,4/10/20,1894
Argentina,ARG,4/11/20,1975
Argentina,ARG,4/12/20,2137
Argentina,ARG,4/13/20,2203
Argentina,ARG,4/14/20,2272
Argentina,ARG,4/15/20,2432
Argentina,ARG,4/16/20,2432
Argentina,ARG,4/17/20,2560
Argentina,ARG,4/18/20,2658
Argentina,ARG,4/19/20,2828
Armenia,ARM,12/31/19,0
Armenia,ARM,1/1/20,0
Armenia,ARM,1/2/20,0
Armenia,ARM,1/3/20,0
Armenia,ARM,1/4/20,0
Armenia,ARM,1/5/20,0
Armenia,ARM,1/6/20,0
Armenia,ARM,1/7/20,0
Armenia,ARM,1/8/20,0
Armenia,ARM,1/9/20,0
Armenia,ARM,1/10/20,0
Armenia,ARM,1/11/20,0
Armenia,ARM,1/12/20,0
Armenia,ARM,1/13/20,0
Armenia,ARM,1/14/20,0
Armenia,ARM,1/15/20,0
Armenia,ARM,1/16/20,0
Armenia,ARM,1/17/20,0
Armenia,ARM,1/18/20,0
Armenia,ARM,1/19/20,0
Armenia,ARM,1/20/20,0
Armenia,ARM,1/21/20,0
Armenia,ARM,1/22/20,0
Armenia,ARM,1/23/20,0
Armenia,ARM,1/24/20,0
Armenia,ARM,1/25/20,0
Armenia,ARM,1/26/20,0
Armenia,ARM,1/27/20,0
Armenia,ARM,1/28/20,0
Armenia,ARM,1/29/20,0
Armenia,ARM,1/30/20,0
Armenia,ARM,1/31/20,0
Armenia,ARM,2/1/20,0
Armenia,ARM,2/2/20,0
Armenia,ARM,2/3/20,0
Armenia,ARM,2/4/20,0
Armenia,ARM,2/5/20,0
Armenia,ARM,2/6/20,0
Armenia,ARM,2/7/20,0
Armenia,ARM,2/8/20,0
Armenia,ARM,2/9/20,0
Armenia,ARM,2/10/20,0
Armenia,ARM,2/11/20,0
Armenia,ARM,2/12/20,0
Armenia,ARM,2/13/20,0
Armenia,ARM,2/14/20,0
Armenia,ARM,2/15/20,0
Armenia,ARM,2/16/20,0
Armenia,ARM,2/17/20,0
Armenia,ARM,2/18/20,0
Armenia,ARM,2/19/20,0
Armenia,ARM,2/20/20,0
Armenia,ARM,2/21/20,0
Armenia,ARM,2/22/20,0
Armenia,ARM,2/23/20,0
Armenia,ARM,2/24/20,0
Armenia,ARM,2/25/20,0
Armenia,ARM,2/26/20,0
Armenia,ARM,2/27/20,0
Armenia,ARM,2/28/20,0
Armenia,ARM,2/29/20,0
Armenia,ARM,3/1/20,1
Armenia,ARM,3/2/20,1
Armenia,ARM,3/12/20,4
Armenia,ARM,3/13/20,6
Armenia,ARM,3/14/20,13
Armenia,ARM,3/15/20,20
Armenia,ARM,3/16/20,30
Armenia,ARM,3/17/20,52
Armenia,ARM,3/18/20,78
Armenia,ARM,3/19/20,115
Armenia,ARM,3/20/20,122
Armenia,ARM,3/21/20,136
Armenia,ARM,3/22/20,160
Armenia,ARM,3/23/20,190
Armenia,ARM,3/24/20,194
Armenia,ARM,3/25/20,265
Armenia,ARM,3/26/20,290
Armenia,ARM,3/27/20,329
Armenia,ARM,3/28/20,372
Armenia,ARM,3/29/20,424
Armenia,ARM,3/30/20,424
Armenia,ARM,3/31/20,482
Armenia,ARM,4/1/20,532
Armenia,ARM,4/2/20,571
Armenia,ARM,4/3/20,663
Armenia,ARM,4/4/20,736
Armenia,ARM,4/5/20,770
Armenia,ARM,4/6/20,822
Armenia,ARM,4/7/20,833
Armenia,ARM,4/8/20,853
Armenia,ARM,4/9/20,881
Armenia,ARM,4/10/20,921
Armenia,ARM,4/11/20,937
Armenia,ARM,4/12/20,967
Armenia,ARM,4/13/20,1013
Armenia,ARM,4/14/20,1039
Armenia,ARM,4/15/20,1111
Armenia,ARM,4/16/20,1159
Armenia,ARM,4/17/20,1201
Armenia,ARM,4/18/20,1248
Armenia,ARM,4/19/20,1291
Aruba,ABW,3/13/20,2
Aruba,ABW,3/20/20,4
Aruba,ABW,3/24/20,12
Aruba,ABW,3/25/20,17
Aruba,ABW,3/26/20,19
Aruba,ABW,3/27/20,28
Aruba,ABW,3/28/20,28
Aruba,ABW,3/29/20,28
Aruba,ABW,3/30/20,50
Aruba,ABW,4/1/20,55
Aruba,ABW,4/2/20,55
Aruba,ABW,4/3/20,60
Aruba,ABW,4/4/20,62
Aruba,ABW,4/5/20,64
Aruba,ABW,4/6/20,64
Aruba,ABW,4/7/20,71
Aruba,ABW,4/8/20,74
Aruba,ABW,4/9/20,77
Aruba,ABW,4/10/20,82
Aruba,ABW,4/11/20,86
Aruba,ABW,4/12/20,92
Aruba,ABW,4/13/20,92
Aruba,ABW,4/14/20,92
Aruba,ABW,4/15/20,92
Aruba,ABW,4/16/20,93
Aruba,ABW,4/17/20,95
Aruba,ABW,4/18/20,96
Aruba,ABW,4/19/20,96
Asia,,12/31/19,27
Asia,,1/1/20,27
Asia,,1/2/20,27
Asia,,1/3/20,44
Asia,,1/4/20,44
Asia,,1/5/20,59
Asia,,1/6/20,59
Asia,,1/7/20,59
Asia,,1/8/20,59
Asia,,1/9/20,59
Asia,,1/10/20,59
Asia,,1/11/20,59
Asia,,1/12/20,59
Asia,,1/13/20,60
Asia,,1/14/20,60
Asia,,1/15/20,61
Asia,,1/16/20,61
Asia,,1/17/20,66
Asia,,1/18/20,83
Asia,,1/19/20,219
Asia,,1/20/20,239
Asia,,1/21/20,391
Asia,,1/22/20,533
Asia,,1/23/20,630
Asia,,1/24/20,896
Asia,,1/25/20,1344
Asia,,1/26/20,2013
Asia,,1/27/20,2807
Asia,,1/28/20,4572
Asia,,1/29/20,6047
Asia,,1/30/20,7799
Asia,,1/31/20,9793
Asia,,2/1/20,11903
Asia,,2/2/20,14507
